City/Town,Ward,Pct,"Karen E. Spilka","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,"1,253",0,254,"1,507"
Ashland,-,2,"1,350",0,311,"1,661"
Ashland,-,3,"1,250",0,282,"1,532"
Ashland,-,4,"1,180",0,315,"1,495"
Ashland,-,5,"1,331",0,293,"1,624"
Framingham,-,1,"1,536",23,404,"1,963"
Framingham,-,2,"1,839",29,466,"2,334"
Framingham,-,3,"1,358",21,270,"1,649"
Framingham,-,4,"1,580",26,409,"2,015"
Framingham,-,5,"1,427",30,390,"1,847"
Framingham,-,6,"1,470",34,368,"1,872"
Framingham,-,7,"1,350",18,317,"1,685"
Framingham,-,8,"1,372",22,268,"1,662"
Framingham,-,9,954,19,210,"1,183"
Framingham,-,10,741,10,110,861
Framingham,-,11,"1,593",27,417,"2,037"
Framingham,-,12,732,20,168,920
Framingham,-,13,934,23,194,"1,151"
Framingham,-,14,597,18,104,719
Framingham,-,15,750,11,119,880
Framingham,-,16,359,7,54,420
Framingham,-,17,394,3,29,426
Framingham,-,18,642,11,113,766
Franklin,-,5,"1,459",39,546,"2,044"
Franklin,-,6,"1,201",24,431,"1,656"
Franklin,-,8,"1,341",42,585,"1,968"
Holliston,-,1,"1,615",31,456,"2,102"
Holliston,-,2,"1,536",16,408,"1,960"
Holliston,-,3,"1,418",28,347,"1,793"
Holliston,-,4,"1,345",22,373,"1,740"
Hopkinton,-,1,"1,756",5,457,"2,218"
Hopkinton,-,2,"1,461",6,485,"1,952"
Hopkinton,-,3,"1,452",7,481,"1,940"
Hopkinton,-,4,"1,453",2,446,"1,901"
Medway,-,1,"1,040",28,439,"1,507"
Medway,-,2,"1,187",34,381,"1,602"
Medway,-,3,"1,173",34,437,"1,644"
Medway,-,4,"1,206",30,435,"1,671"
Natick,-,1,887,0,177,"1,064"
Natick,-,2,"1,424",0,417,"1,841"
Natick,-,3,"1,387",7,412,"1,806"
Natick,-,4,"1,286",5,341,"1,632"
Natick,-,5,"1,335",0,428,"1,763"
Natick,-,8,"1,393",3,428,"1,824"
TOTALS,,,"54,347",715,"14,775","69,837"
