City/Town,Ward,Pct,"Sal N. DiDomenico","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,2,1,"1,155",26,277,"1,458"
Boston,2,2,"1,336",18,271,"1,625"
Boston,2,3,846,9,192,"1,047"
Boston,2,4,755,13,133,901
Boston,2,5,911,15,190,"1,116"
Boston,2,6,"1,049",12,221,"1,282"
Boston,2,7,873,13,193,"1,079"
Boston,3,5,"1,585",24,363,"1,972"
Boston,21,4,538,4,59,601
Boston,21,6,565,9,85,659
Boston,21,7,670,5,107,782
Boston,22,1,894,12,157,"1,063"
Boston,22,2,"1,125",28,211,"1,364"
Boston,22,5,518,8,103,629
Cambridge,1,1,"1,419",6,207,"1,632"
Cambridge,1,2,"1,113",8,169,"1,290"
Cambridge,1,3,"1,272",7,214,"1,493"
Cambridge,2,1,"1,059",4,141,"1,204"
Cambridge,3,1,"1,188",7,166,"1,361"
Cambridge,3,2,811,1,94,906
Cambridge,3,2A,570,2,88,660
Cambridge,3,3,"1,144",4,150,"1,298"
Cambridge,4,2,"1,514",7,211,"1,732"
Cambridge,6,1,"1,508",3,225,"1,736"
Cambridge,6,2,"1,334",7,200,"1,541"
Cambridge,6,3,"1,483",14,219,"1,716"
Cambridge,7,1,"1,465",8,184,"1,657"
Cambridge,7,2,765,8,118,891
Cambridge,7,3,439,3,51,493
Cambridge,8,1,995,12,146,"1,153"
Cambridge,8,2,"1,005",9,200,"1,214"
Cambridge,8,3,273,0,40,313
Chelsea,1,1,317,0,57,374
Chelsea,1,2,177,0,37,214
Chelsea,1,3,256,0,47,303
Chelsea,1,4,257,0,34,291
Chelsea,2,1,733,0,220,953
Chelsea,2,2,439,0,89,528
Chelsea,2,3,173,0,32,205
Chelsea,2,4,270,0,70,340
Chelsea,3,1,264,0,62,326
Chelsea,3,2,409,0,76,485
Chelsea,3,3,319,0,68,387
Chelsea,3,4,340,0,86,426
Chelsea,4,1,349,0,90,439
Chelsea,4,2,415,0,128,543
Chelsea,4,3,416,0,120,536
Chelsea,4,4,291,0,86,377
Everett,1,1,634,7,135,776
Everett,1,2,493,13,129,635
Everett,2,1,692,11,141,844
Everett,2,2,603,13,112,728
Everett,3,1,833,9,164,"1,006"
Everett,3,2,704,9,178,891
Everett,4,1,846,17,164,"1,027"
Everett,4,2,683,14,137,834
Everett,5,1,732,8,129,869
Everett,5,2,730,10,127,867
Everett,6,1,798,14,140,952
Everett,6,2,794,6,134,934
TOTALS,,,"46,144",437,"8,377","54,958"
