City/Town,Ward,Pct,"Harriette L. Chandler","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boylston,-,1,"1,740",0,753,"2,493"
Clinton,-,3,"1,035",26,332,"1,393"
Clinton,-,4,994,31,289,"1,314"
Holden,-,1,"1,311",24,533,"1,868"
Holden,-,2,"1,397",38,527,"1,962"
Holden,-,3,"1,309",29,432,"1,770"
Holden,-,4,"1,527",22,557,"2,106"
Holden,-,5,"1,505",21,517,"2,043"
Northborough,-,1,"1,460",38,452,"1,950"
Northborough,-,2,"1,388",41,438,"1,867"
Northborough,-,4,"1,445",45,497,"1,987"
Princeton,-,1,"1,474",27,559,"2,060"
"W. Boylston",-,1,"1,157",33,398,"1,588"
"W. Boylston",-,2,"1,546",53,607,"2,206"
Worcester,1,1,"1,396",45,326,"1,767"
Worcester,1,2,"1,424",37,367,"1,828"
Worcester,1,3,826,22,222,"1,070"
Worcester,1,4,"1,472",33,303,"1,808"
Worcester,1,5,"1,173",34,303,"1,510"
Worcester,2,1,"1,196",37,333,"1,566"
Worcester,2,2,"1,262",28,265,"1,555"
Worcester,2,3,"1,065",40,301,"1,406"
Worcester,2,4,950,20,121,"1,091"
Worcester,2,5,402,10,52,464
Worcester,3,1,839,26,183,"1,048"
Worcester,3,2,298,5,48,351
Worcester,3,3,790,12,138,940
Worcester,3,4,514,11,65,590
Worcester,3,5,849,23,173,"1,045"
Worcester,4,1,523,7,84,614
Worcester,4,2,681,22,186,889
Worcester,4,3,503,8,47,558
Worcester,4,4,737,12,181,930
Worcester,4,5,954,21,229,"1,204"
Worcester,8,2,416,15,44,475
Worcester,8,3,428,7,39,474
Worcester,8,4,576,21,91,688
Worcester,9,1,"1,024",24,207,"1,255"
Worcester,9,2,"1,255",28,275,"1,558"
Worcester,9,3,867,12,202,"1,081"
Worcester,9,4,"1,261",36,268,"1,565"
Worcester,9,5,"1,214",36,316,"1,566"
Worcester,10,1,536,13,87,636
Worcester,10,2,581,11,56,648
Worcester,10,3,462,6,52,520
Worcester,10,4,415,6,47,468
Worcester,10,5,434,8,39,481
TOTALS,,,"46,611","1,104","12,541","60,256"
