City/Town,Ward,Pct,"Michael J. Rodrigues","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,A,821,13,251,"1,085"
"Fall River",1,B,546,6,177,729
"Fall River",1,C,557,5,200,762
"Fall River",2,A,432,0,94,526
"Fall River",2,B,391,14,85,490
"Fall River",2,C,459,8,137,604
"Fall River",3,A,668,3,147,818
"Fall River",3,B,556,5,157,718
"Fall River",3,C,631,11,159,801
"Fall River",4,A,415,0,127,542
"Fall River",4,B,376,2,76,454
"Fall River",4,C,441,3,100,544
"Fall River",5,A,276,0,75,351
"Fall River",5,B,234,2,61,297
"Fall River",5,B1,58,0,10,68
"Fall River",5,C,368,0,107,475
"Fall River",6,A,680,0,243,923
"Fall River",6,B,495,0,122,617
"Fall River",6,C,586,7,154,747
"Fall River",6,C1,10,0,2,12
"Fall River",7,A,650,10,191,851
"Fall River",7,B,451,8,115,574
"Fall River",7,C,578,3,153,734
"Fall River",8,A,541,7,153,701
"Fall River",8,B,824,21,303,"1,148"
"Fall River",8,C,932,8,319,"1,259"
"Fall River",9,A,"1,086",12,416,"1,514"
"Fall River",9,B,717,7,270,994
"Fall River",9,C,744,5,261,"1,010"
Freetown,-,1,853,31,390,"1,274"
Freetown,-,2,912,32,419,"1,363"
Freetown,-,3,831,32,453,"1,316"
Lakeville,-,1,"1,103",16,608,"1,727"
Lakeville,-,2,"1,102",0,663,"1,765"
Lakeville,-,3,"1,253",44,657,"1,954"
Rochester,-,1,"1,797",22,"1,001","2,820"
Somerset,-,1,"1,161",0,405,"1,566"
Somerset,-,2,"1,187",1,441,"1,629"
Somerset,-,3,"1,229",0,393,"1,622"
Somerset,-,4,"1,050",0,370,"1,420"
Somerset,-,5,958,0,363,"1,321"
Swansea,-,1,955,46,395,"1,396"
Swansea,-,2,956,27,314,"1,297"
Swansea,-,3,920,20,305,"1,245"
Swansea,-,4,971,27,368,"1,366"
Swansea,-,5,911,33,410,"1,354"
Westport,-,A,980,0,340,"1,320"
Westport,-,B,"1,321",0,466,"1,787"
Westport,-,C,937,0,272,"1,209"
Westport,-,D,966,0,271,"1,237"
Westport,-,E,"1,292",0,416,"1,708"
TOTALS,,,"39,168",491,"14,385","54,044"
