City/Town,Ward,Pct,"Kevin F. Coppinger","All Others",Blanks,"Total Votes Cast"
Middleton,-,2,761,39,370,"1,170"
Middleton,-,3,926,37,521,"1,484"
Nahant,,,"1,443",35,497,"1,975"
Newbury,-,1,"1,404",38,549,"1,991"
Newbury,-,2,"1,315",26,634,"1,975"
Newburyport,1,1,"1,017",17,355,"1,389"
Newburyport,2,1,"1,256",23,367,"1,646"
Newburyport,3,1,"1,300",26,418,"1,744"
Newburyport,4,1,"1,236",20,458,"1,714"
Newburyport,5,1,"1,017",27,403,"1,447"
Newburyport,6,1,"1,105",38,444,"1,587"
Newburyport,1,P,268,8,117,393
"N. Andover",-,1,947,5,341,"1,293"
"N. Andover",-,2,"1,100",20,441,"1,561"
"N. Andover",-,3,"1,028",23,403,"1,454"
"N. Andover",-,4,"1,406",39,594,"2,039"
"N. Andover",-,5,627,5,235,867
"N. Andover",-,6,"1,274",18,652,"1,944"
"N. Andover",-,7,"1,221",27,460,"1,708"
"N. Andover",-,8,"1,155",25,580,"1,760"
Peabody,1,1,907,35,317,"1,259"
Peabody,1,2,946,34,401,"1,381"
Peabody,1,3,990,38,374,"1,402"
Peabody,2,1,576,15,135,726
Peabody,2,2,526,24,141,691
Peabody,2,3,703,23,216,942
Peabody,3,1,432,10,95,537
Peabody,3,2,653,20,207,880
Peabody,3,3,743,25,269,"1,037"
Peabody,4,1,825,37,262,"1,124"
Peabody,4,2,523,23,179,725
Peabody,4,3,354,5,124,483
Peabody,4,3A,970,5,329,"1,304"
Peabody,5,1,"1,025",31,442,"1,498"
Peabody,5,2,659,25,342,"1,026"
Peabody,5,3,718,33,319,"1,070"
Peabody,6,1,"1,025",43,579,"1,647"
Peabody,6,2,896,32,494,"1,422"
Peabody,6,3,992,53,546,"1,591"
Rockport,-,1,791,13,277,"1,081"
Rockport,-,2,"1,090",21,313,"1,424"
Rockport,-,3,"1,289",26,475,"1,790"
Rowley,,,"2,124",81,998,"3,203"
Salem,1,1,"1,224",1,362,"1,587"
Salem,1,2,402,1,72,475
Salem,2,1,"1,128",10,294,"1,432"
Salem,2,2,"1,214",5,308,"1,527"
Salem,3,1,832,0,213,"1,045"
Salem,3,2,887,0,283,"1,170"
Salem,4,1,837,5,275,"1,117"
Salem,4,2,952,3,293,"1,248"
Salem,5,1,"1,018",3,250,"1,271"
Salem,5,2,845,1,193,"1,039"
Salem,6,1,957,1,265,"1,223"
Salem,6,2,"1,088",6,273,"1,367"
Salem,7,1,685,0,184,869
Salem,7,2,"1,034",5,293,"1,332"
Salisbury,-,1,919,4,451,"1,374"
Salisbury,-,2,909,0,463,"1,372"
Salisbury,-,3,860,1,449,"1,310"
Saugus,-,1,672,1,372,"1,045"
Saugus,-,2,599,1,360,960
Saugus,-,3,619,1,378,998
Saugus,-,4,616,0,389,"1,005"
Saugus,-,5,689,0,500,"1,189"
Saugus,-,6,637,0,364,"1,001"
Saugus,-,7,655,0,497,"1,152"
Saugus,-,8,628,0,412,"1,040"
Saugus,-,9,698,0,462,"1,160"
Saugus,-,10,569,0,317,886
Swampscott,-,1,794,18,254,"1,066"
Swampscott,-,2,781,17,302,"1,100"
Swampscott,-,3,874,22,279,"1,175"
Swampscott,-,4,959,24,311,"1,294"
Swampscott,-,5,869,14,365,"1,248"
Swampscott,-,6,880,22,308,"1,210"
Topsfield,-,1,"1,152",22,580,"1,754"
Topsfield,-,2,"1,101",9,498,"1,608"
Wenham,-,1,506,10,224,740
Wenham,-,1A,863,22,350,"1,235"
"W. Newbury",,,"1,779",43,764,"2,586"
TOTALS,,,"203,862","5,202","80,327","289,391"
