City/Town,Ward,Pct,"Joseph Daniel McDonald, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican
Abington,-,1,891,7,311,"1,209"
Abington,-,2,893,8,332,"1,233"
Abington,-,3,"1,002",18,352,"1,372"
Abington,-,4,"1,066",11,327,"1,404"
Abington,-,5,"1,057",5,356,"1,418"
Bridgewater,-,1,"1,028",11,385,"1,424"
Bridgewater,-,2,"1,007",4,412,"1,423"
Bridgewater,-,3,"1,285",15,434,"1,734"
Bridgewater,-,4,550,14,222,786
Bridgewater,-,5,80,3,59,142
Bridgewater,-,6,653,10,250,913
Bridgewater,-,7,902,15,353,"1,270"
Bridgewater,-,8,756,15,319,"1,090"
Bridgewater,-,9,"1,000",15,378,"1,393"
Brockton,1,A,315,1,264,580
Brockton,1,B,516,10,416,942
Brockton,1,C,467,5,283,755
Brockton,1,D,777,4,455,"1,236"
Brockton,2,A,178,2,199,379
Brockton,2,B,247,2,234,483
Brockton,2,C,154,4,165,323
Brockton,2,D,384,5,270,659
Brockton,3,A,344,23,300,667
Brockton,3,B,242,4,259,505
Brockton,3,C,717,4,382,"1,103"
Brockton,3,D,705,9,397,"1,111"
Brockton,4,A,158,2,139,299
Brockton,4,B,376,4,288,668
Brockton,4,C,572,2,324,898
Brockton,4,D,562,9,317,888
Brockton,5,A,236,3,203,442
Brockton,5,B,501,14,380,895
Brockton,5,C,333,2,265,600
Brockton,5,D,642,1,373,"1,016"
Brockton,6,A,387,6,261,654
Brockton,6,B,650,7,335,992
Brockton,6,C,484,5,323,812
Brockton,6,D,766,0,424,"1,190"
Brockton,7,A,263,3,237,503
Brockton,7,B,387,4,358,749
Brockton,7,C,373,4,350,727
Brockton,7,D,448,0,373,821
Carver,-,1,"1,290",0,373,"1,663"
Carver,-,2,"1,222",0,365,"1,587"
Carver,-,3,"1,356",3,459,"1,818"
Duxbury,-,1,"1,168",29,444,"1,641"
Duxbury,-,2,"1,046",23,393,"1,462"
Duxbury,-,3,"1,042",22,364,"1,428"
Duxbury,-,4,938,15,327,"1,280"
Duxbury,-,5,973,21,352,"1,346"
Duxbury,-,6,910,25,327,"1,262"
"E. Bridgewater",-,1,"1,111",14,399,"1,524"
"E. Bridgewater",-,2,"1,133",9,391,"1,533"
"E. Bridgewater",-,3,"1,229",15,448,"1,692"
"E. Bridgewater",-,4,"1,079",13,396,"1,488"
Halifax,-,1,"1,410",24,374,"1,808"
Halifax,-,2,"1,336",30,315,"1,681"
Halifax,-,2A,61,1,13,75
Hanover,-,1,"1,444",35,476,"1,955"
Hanover,-,2,"1,333",33,440,"1,806"
Hanover,-,3,"1,227",25,457,"1,709"
Hanover,-,4,"1,414",35,486,"1,935"
Hanson,-,1,"1,320",12,384,"1,716"
Hanson,-,2,"1,445",17,400,"1,862"
Hanson,-,3,"1,153",7,309,"1,469"
Hingham,-,1,"1,176",34,542,"1,752"
Hingham,-,2,"1,207",40,526,"1,773"
Hingham,-,3,"1,123",41,524,"1,688"
Hingham,-,4,"1,194",35,592,"1,821"
Hingham,-,5,"1,276",17,490,"1,783"
Hingham,-,6,"1,129",26,491,"1,646"
Hingham,-,7,722,19,306,"1,047"
Hingham,-,7A,578,7,458,"1,043"
Hull,-,1,"1,083",19,720,"1,822"
Hull,-,2,"1,040",16,534,"1,590"
Hull,-,3,"1,225",34,691,"1,950"
Kingston,-,1,"1,080",25,377,"1,482"
Kingston,-,2,"1,321",25,372,"1,718"
Kingston,-,3,"1,325",16,297,"1,638"
Kingston,-,4,"1,145",9,322,"1,476"
Lakeville,-,1,"1,399",23,397,"1,819"
Lakeville,-,2,"1,464",23,460,"1,947"
Lakeville,-,3,"1,349",28,407,"1,784"
Marion,,,"1,824",41,948,"2,813"
Marshfield,-,1,"1,487",0,453,"1,940"
Marshfield,-,2,"1,250",0,394,"1,644"
Marshfield,-,2A,144,0,75,219
Marshfield,-,3,"1,430",0,472,"1,902"
Marshfield,-,4,"1,228",0,375,"1,603"
Marshfield,-,5,"1,223",0,423,"1,646"
Marshfield,-,6,"1,680",0,568,"2,248"
Marshfield,-,7,"1,489",0,474,"1,963"
Mattapoisett,-,1,"1,259",27,609,"1,895"
Mattapoisett,-,2,"1,228",37,625,"1,890"
Middleborough,-,1,"1,500",6,559,"2,065"
Middleborough,-,2,814,8,309,"1,131"
Middleborough,-,3,"1,080",13,358,"1,451"
Middleborough,-,4,695,4,248,947
Middleborough,-,5,962,4,314,"1,280"
Middleborough,-,5A,201,0,61,262
Middleborough,-,6,"1,044",14,321,"1,379"
Middleborough,-,7,702,9,255,966
Middleborough,-,7A,279,2,83,364
Norwell,-,1,"1,274",23,454,"1,751"
Norwell,-,2,"1,464",32,504,"2,000"
Norwell,-,3,"1,295",41,539,"1,875"
Pembroke,-,1,"1,397",26,439,"1,862"
Pembroke,-,2,"1,230",25,342,"1,597"
Pembroke,-,3,"1,317",36,386,"1,739"
Pembroke,-,3A,10,0,2,12
Pembroke,-,4,"1,325",24,360,"1,709"
Pembroke,-,5,"1,226",30,351,"1,607"
Plymouth,-,1,774,8,295,"1,077"
Plymouth,-,2,"1,018",20,337,"1,375"
Plymouth,-,3,971,37,443,"1,451"
Plymouth,-,4,"1,056",10,392,"1,458"
Plymouth,-,5,"1,096",14,370,"1,480"
Plymouth,-,6,"1,292",30,474,"1,796"
Plymouth,-,7,"1,116",28,413,"1,557"
Plymouth,-,8,"1,319",23,491,"1,833"
Plymouth,-,9,"1,089",32,277,"1,398"
Plymouth,-,10,"1,276",19,336,"1,631"
Plymouth,-,11,"1,349",18,399,"1,766"
Plymouth,-,12,992,40,283,"1,315"
Plymouth,-,13,"1,293",14,378,"1,685"
Plymouth,-,14,"1,354",14,364,"1,732"
Plymouth,-,15,"1,766",22,846,"2,634"
Plymouth,-,16,"1,436",20,671,"2,127"
Plymouth,-,17,"1,323",29,454,"1,806"
Plymouth,-,18,874,14,257,"1,145"
Plympton,,,"1,147",0,346,"1,493"
Rochester,,,"2,197",10,682,"2,889"
Rockland,-,1,955,24,309,"1,288"
Rockland,-,2,978,22,311,"1,311"
Rockland,-,3,687,25,222,934
Rockland,-,4,799,22,205,"1,026"
Rockland,-,5,888,26,230,"1,144"
Rockland,-,6,970,20,267,"1,257"
Scituate,-,1,"1,185",17,563,"1,765"
Scituate,-,2,"1,165",17,568,"1,750"
Scituate,-,3,"1,158",2,565,"1,725"
Scituate,-,4,"1,241",8,542,"1,791"
Scituate,-,5,"1,109",13,537,"1,659"
Scituate,-,6,"1,226",10,595,"1,831"
Wareham,-,1,"1,020",32,414,"1,466"
Wareham,-,2,"1,127",24,480,"1,631"
Wareham,-,3,"1,072",24,463,"1,559"
Wareham,-,4,"1,078",23,358,"1,459"
Wareham,-,5,"1,163",22,389,"1,574"
Wareham,-,6,984,33,305,"1,322"
"W. Bridgewater",-,1,"1,212",7,392,"1,611"
"W. Bridgewater",-,2,"1,283",9,376,"1,668"
Whitman,-,1,"1,313",19,428,"1,760"
Whitman,-,2,"1,130",27,317,"1,474"
Whitman,-,3,"1,201",11,337,"1,549"
Whitman,-,4,"1,113",27,379,"1,519"
TOTALS,,,"154,682","2,403","59,623","216,708"
