City/Town,Ward,Pct,"Patrick W. McDermott","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Weymouth,-,3,"1,082",32,412,"1,526"
Weymouth,-,4,940,23,347,"1,310"
Weymouth,-,5,916,14,263,"1,193"
Weymouth,-,6,"1,126",22,395,"1,543"
Weymouth,-,7,752,28,281,"1,061"
Weymouth,-,8,906,36,352,"1,294"
Weymouth,-,9,695,25,234,954
Weymouth,-,9A,250,6,82,338
Weymouth,-,10,777,18,271,"1,066"
Weymouth,-,11,728,26,222,976
Weymouth,-,12,"1,050",25,413,"1,488"
Weymouth,-,13,637,14,189,840
Weymouth,-,14,"1,109",25,335,"1,469"
Weymouth,-,15,"1,087",29,449,"1,565"
Weymouth,-,16,"1,162",30,458,"1,650"
Weymouth,-,17,779,21,262,"1,062"
Weymouth,-,18,846,16,237,"1,099"
Wrentham,-,1,963,32,467,"1,462"
Wrentham,-,2,"1,029",41,509,"1,579"
Wrentham,-,3,977,24,471,"1,472"
Wrentham,-,4,986,37,475,"1,498"
TOTALS,,,"205,834","3,665","78,420","287,919"
