City/Town,Ward,Pct,"Steven W. Tompkins","All Others",Blanks,"Total Votes Cast"
Boston,21,15,459,5,114,578
Boston,21,16,609,8,182,799
Boston,22,1,641,18,153,812
Boston,22,2,771,18,210,999
Boston,22,3,660,17,188,865
Boston,22,4,562,16,149,727
Boston,22,5,441,8,115,564
Boston,22,6,441,11,95,547
Boston,22,7,610,8,144,762
Boston,22,8,430,4,148,582
Boston,22,9,470,12,174,656
Boston,22,10,569,18,181,768
Boston,22,11,391,6,100,497
Boston,22,12,353,5,126,484
Boston,22,13,345,5,89,439
Chelsea,1,1,208,0,77,285
Chelsea,1,2,116,0,49,165
Chelsea,1,3,173,0,57,230
Chelsea,1,4,159,0,34,193
Chelsea,2,1,556,0,236,792
Chelsea,2,2,248,0,40,288
Chelsea,2,3,129,0,42,171
Chelsea,2,4,254,0,62,316
Chelsea,3,1,244,0,66,310
Chelsea,3,2,301,0,76,377
Chelsea,3,3,233,0,63,296
Chelsea,3,4,221,0,66,287
Chelsea,4,1,311,0,66,377
Chelsea,4,2,289,0,119,408
Chelsea,4,3,306,0,135,441
Chelsea,4,4,247,0,118,365
Revere,1,1,525,22,214,761
Revere,1,2,484,18,214,716
Revere,1,3,392,7,149,548
Revere,2,1,330,10,111,451
Revere,2,2,402,14,127,543
Revere,2,3,109,8,30,147
Revere,2,3A,22,0,12,34
Revere,3,1,322,18,187,527
Revere,3,2,344,21,169,534
Revere,3,3,357,14,198,569
Revere,4,1,448,19,241,708
Revere,4,2,354,11,169,534
Revere,4,3,440,25,237,702
Revere,5,1,671,19,405,"1,095"
Revere,5,2,460,28,199,687
Revere,5,3,334,18,148,500
Revere,6,1,320,507,40,867
Revere,6,2,443,21,354,818
Revere,6,3,398,11,172,581
Winthrop,-,1,751,18,397,"1,166"
Winthrop,-,2,781,29,411,"1,221"
Winthrop,-,3,760,16,291,"1,067"
Winthrop,-,4,617,19,281,917
Winthrop,-,5,816,25,419,"1,260"
Winthrop,-,6,783,25,295,"1,103"
TOTALS,,,"154,205","3,753","46,229","204,187"
