City/Town,Ward,Pct,"Robert Ogden","Erik Blake","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Aquinnah,,,217,0,1,45,263
Chilmark,,,613,0,6,139,758
Edgartown,,,"1,705",5,29,458,"2,197"
Gosnold,,,31,0,0,24,55
"Oak Bluffs",,,"1,861",14,26,419,"2,320"
Tisbury,,,"1,635",21,7,378,"2,041"
"W. Tisbury",,,"1,442",10,11,310,"1,773"
TOTALS,,,"7,504",50,80,"1,773","9,407"
