City/Town,Ward,Pct,"Peter J. Koutoujian","All Others",Blanks,"Total Votes Cast"
Everett,2,2,177,8,50,235
Everett,2,2A,133,4,51,188
Everett,2,3,295,9,105,409
Everett,3,1,456,16,179,651
Everett,3,2,381,10,136,527
Everett,3,3,217,15,102,334
Everett,4,1,429,16,147,592
Everett,4,2,349,25,146,520
Everett,4,3,325,13,150,488
Everett,5,1,329,12,124,465
Everett,5,2,299,8,108,415
Everett,5,3,296,6,123,425
Everett,6,1,378,18,125,521
Everett,6,2,304,10,116,430
Everett,6,3,402,8,119,529
Framingham,-,1,237,3,56,296
Framingham,-,2,157,7,25,189
Framingham,-,3,247,5,39,291
Framingham,-,4,306,19,76,401
Framingham,-,5,443,26,125,594
Framingham,-,6,733,15,198,946
Framingham,-,7,878,21,201,"1,100"
Framingham,-,8,485,12,111,608
Framingham,-,9A,588,11,154,753
Framingham,-,9B,34,0,9,43
Framingham,-,10,420,10,120,550
Framingham,-,11,543,9,134,686
Framingham,-,12,470,8,106,584
Framingham,-,13,274,6,65,345
Framingham,-,14,380,13,88,481
Framingham,-,15,409,9,97,515
Framingham,-,16,727,18,191,936
Framingham,-,17,803,20,221,"1,044"
Framingham,-,18,947,15,260,"1,222"
Framingham,-,19,902,16,291,"1,209"
Framingham,-,20,928,20,285,"1,233"
Framingham,-,21A,660,14,235,909
Framingham,-,21B,397,9,141,547
Framingham,-,21C,23,1,10,34
Framingham,-,22,965,13,317,"1,295"
Framingham,-,23,826,18,272,"1,116"
Framingham,-,24,903,20,250,"1,173"
Framingham,-,25,917,15,251,"1,183"
Framingham,-,26,802,14,215,"1,031"
Framingham,-,27,792,14,219,"1,025"
Groton,-,1,"1,375",33,446,"1,854"
Groton,-,2,"1,317",49,434,"1,800"
Groton,-,3,"1,298",36,437,"1,771"
Groton,-,3A,89,1,36,126
Holliston,-,1,"1,442",39,471,"1,952"
Holliston,-,2,"1,309",25,442,"1,776"
Holliston,-,3,"1,211",25,357,"1,593"
Holliston,-,4,"1,414",39,436,"1,889"
Hopkinton,-,1,979,11,263,"1,253"
Hopkinton,-,2,"1,210",14,386,"1,610"
Hopkinton,-,3,"1,132",11,437,"1,580"
Hopkinton,-,4,"1,322",12,400,"1,734"
Hopkinton,-,5,"1,286",18,432,"1,736"
Hudson,-,1,979,10,344,"1,333"
Hudson,-,2,821,5,299,"1,125"
Hudson,-,3,"1,027",4,412,"1,443"
Hudson,-,4,"1,192",9,494,"1,695"
Hudson,-,5,"1,252",9,415,"1,676"
Hudson,-,6,784,14,283,"1,081"
Lexington,-,1,"1,190",17,321,"1,528"
Lexington,-,2,"1,403",14,349,"1,766"
Lexington,-,3,"1,100",7,261,"1,368"
Lexington,-,4,"1,354",11,376,"1,741"
Lexington,-,5,"1,210",24,381,"1,615"
Lexington,-,6,"1,297",16,421,"1,734"
Lexington,-,7,"1,282",20,395,"1,697"
Lexington,-,8,"1,226",17,347,"1,590"
Lexington,-,9,"1,337",22,363,"1,722"
Lincoln,-,1,"1,700",8,400,"2,108"
Lincoln,-,2,962,13,272,"1,247"
Littleton,-,1,"1,196",0,459,"1,655"
Littleton,-,2,"1,173",0,497,"1,670"
Littleton,-,3,"1,280",0,462,"1,742"
Lowell,1,1,430,19,165,614
Lowell,1,1A,0,0,0,0
Lowell,1,2,607,15,231,853
Lowell,1,3,770,27,295,"1,092"
Lowell,1,4,705,20,263,988
Lowell,2,1,316,13,146,475
Lowell,2,2,454,17,130,601
Lowell,2,3,587,21,206,814
Lowell,2,4,470,22,177,669
Lowell,3,1,386,14,164,564
Lowell,3,2,"1,162",33,570,"1,765"
Lowell,3,3,884,25,405,"1,314"
Lowell,3,4,534,20,228,782
Lowell,4,1,313,9,96,418
Lowell,4,2,593,19,148,760
Lowell,4,3,183,2,62,247
Lowell,4,3A,114,4,26,144
Lowell,4,4,345,15,135,495
Lowell,4,4A,2,0,0,2
Lowell,5,1,481,17,138,636
Lowell,5,1A,100,2,14,116
Lowell,5,2,436,16,138,590
Lowell,5,3,274,14,71,359
Lowell,5,4,555,30,192,777
Lowell,6,1,374,12,166,552
Lowell,6,2,246,5,93,344
Lowell,6,3,182,11,59,252
Lowell,6,3A,37,4,27,68
Lowell,6,4,272,11,111,394
Lowell,6,4A,95,2,41,138
Lowell,7,1,300,11,107,418
Lowell,7,2,251,14,96,361
Lowell,7,3,331,6,106,443
Lowell,7,4,193,6,69,268
Lowell,8,1,409,11,145,565
Lowell,8,2,389,10,114,513
Lowell,8,3,746,16,325,"1,087"
Lowell,8,4,595,30,221,846
Lowell,8,4A,23,0,7,30
Malden,1,1,373,7,78,458
Malden,1,2,439,8,152,599
Malden,1,3,478,16,141,635
Malden,2,1,389,12,81,482
Malden,2,2,385,17,152,554
Malden,2,3,517,13,173,703
Malden,3,1,340,7,116,463
Malden,3,1A,408,7,149,564
Malden,3,2,510,12,140,662
Malden,3,3,665,16,211,892
Malden,4,1,442,13,99,554
Malden,4,2,285,9,88,382
Malden,4,3,433,8,101,542
Malden,5,1,479,17,147,643
Malden,5,2,745,13,250,"1,008"
Malden,5,3,275,13,85,373
Malden,5,3A,147,0,16,163
Malden,6,1,679,22,238,939
Malden,6,2,436,15,137,588
Malden,6,3,469,16,154,639
Malden,7,1,374,6,99,479
Malden,7,2,371,8,101,480
Malden,7,3,239,5,76,320
Malden,7,3A,178,6,36,220
Malden,8,1,553,8,175,736
Malden,8,2,436,13,113,562
Malden,8,3,330,6,102,438
Marlborough,1,1,622,6,233,861
Marlborough,1,1A,23,0,3,26
Marlborough,1,2,986,11,400,"1,397"
Marlborough,2,1,795,6,340,"1,141"
Marlborough,2,2,633,9,195,837
Marlborough,2,2A,5,0,4,9
Marlborough,3,1,451,6,150,607
Marlborough,3,2,919,5,272,"1,196"
Marlborough,4,1,379,2,135,516
Marlborough,4,2,913,8,362,"1,283"
Marlborough,5,1,434,6,160,600
Marlborough,5,2,776,5,251,"1,032"
Marlborough,6,1,465,1,195,661
Marlborough,6,2,934,9,371,"1,314"
Marlborough,7,1,619,8,243,870
Marlborough,7,2,655,4,253,912
Marlborough,7,2A,21,0,15,36
Maynard,-,1,"1,041",17,289,"1,347"
Maynard,-,2,904,13,215,"1,132"
Maynard,-,3,"1,236",25,312,"1,573"
Maynard,-,4,859,24,247,"1,130"
Medford,1,1,934,0,334,"1,268"
Medford,1,2,"1,085",0,342,"1,427"
Medford,2,1,904,0,363,"1,267"
Medford,2,2,"1,298",0,548,"1,846"
Medford,3,1,"1,209",0,535,"1,744"
Medford,3,2,"1,346",0,609,"1,955"
Medford,4,1,516,0,150,666
Medford,4,2,"1,110",0,388,"1,498"
Medford,5,1,"1,007",0,276,"1,283"
Medford,5,2,967,0,232,"1,199"
Medford,6,1,"1,318",0,402,"1,720"
Medford,6,2,"1,156",0,423,"1,579"
Medford,6,2A,57,0,24,81
Medford,7,1,556,0,160,716
Medford,7,2,658,0,178,836
Medford,7,2A,91,0,11,102
Medford,8,1,"1,103",0,412,"1,515"
Medford,8,2,900,0,340,"1,240"
Melrose,1,1,832,9,288,"1,129"
Melrose,1,2,661,9,240,910
Melrose,2,1,765,12,330,"1,107"
Melrose,2,2,717,20,238,975
Melrose,3,1,668,12,228,908
Melrose,3,2,698,12,277,987
Melrose,4,1,647,12,222,881
Melrose,4,2,730,26,360,"1,116"
Melrose,5,1,511,8,136,655
Melrose,5,2,539,11,104,654
Melrose,6,1,680,7,205,892
Melrose,6,2,816,18,307,"1,141"
Melrose,7,1,727,19,252,998
Melrose,7,2,753,27,304,"1,084"
Natick,-,1,725,5,179,909
Natick,-,2,"1,216",3,385,"1,604"
Natick,-,3,"1,186",8,397,"1,591"
Natick,-,4,"1,140",9,361,"1,510"
Natick,-,5,"1,213",5,447,"1,665"
Natick,-,6,"1,159",11,397,"1,567"
Natick,-,7,"1,505",15,394,"1,914"
Natick,-,8,"1,338",7,410,"1,755"
Natick,-,9,"1,340",3,426,"1,769"
Natick,-,10,"1,567",8,534,"2,109"
Newton,1,1,745,10,212,967
Newton,1,2,894,17,233,"1,144"
Newton,1,2A,48,2,6,56
Newton,1,3,915,12,229,"1,156"
Newton,1,4,842,10,259,"1,111"
Newton,2,1,852,17,225,"1,094"
Newton,2,2,655,8,202,865
Newton,2,3,"1,047",8,299,"1,354"
Newton,2,4,"1,128",18,331,"1,477"
Newton,3,1,971,15,280,"1,266"
Newton,3,1A,0,0,0,0
Newton,3,2,"1,007",15,298,"1,320"
Newton,3,3,947,15,307,"1,269"
Newton,3,4,953,26,281,"1,260"
Newton,4,1,871,10,254,"1,135"
Newton,4,2,851,12,233,"1,096"
Newton,4,3,626,8,173,807
Newton,4,4,780,25,263,"1,068"
Newton,5,1,863,20,235,"1,118"
Newton,5,2,967,10,252,"1,229"
Newton,5,3,"1,088",6,341,"1,435"
Newton,5,4,"1,073",10,333,"1,416"
Newton,6,1,872,14,269,"1,155"
Newton,6,2,880,12,283,"1,175"
Newton,6,3,"1,055",9,295,"1,359"
Newton,6,4,"1,121",7,349,"1,477"
Newton,7,1,716,7,283,"1,006"
Newton,7,2,"1,072",19,302,"1,393"
Newton,7,3,296,6,85,387
Newton,7,4,485,4,160,649
Newton,8,1,839,17,365,"1,221"
Newton,8,2,789,15,310,"1,114"
Newton,8,3,920,13,286,"1,219"
Newton,8,4,801,15,285,"1,101"
"N. Reading",-,1,"1,164",14,663,"1,841"
"N. Reading",-,2,"1,215",14,630,"1,859"
"N. Reading",-,3,"1,147",26,612,"1,785"
"N. Reading",-,4,"1,215",9,629,"1,853"
Pepperell,-,1,834,33,409,"1,276"
Pepperell,-,2,"1,062",51,496,"1,609"
Pepperell,-,3,960,33,436,"1,429"
Pepperell,-,4,824,35,266,"1,125"
Reading,-,1,"1,149",0,606,"1,755"
Reading,-,2,"1,023",0,432,"1,455"
Reading,-,3,"1,118",0,542,"1,660"
Reading,-,4,"1,098",0,474,"1,572"
Reading,-,5,"1,067",0,465,"1,532"
Reading,-,6,"1,124",0,512,"1,636"
Reading,-,7,"1,102",0,542,"1,644"
Reading,-,8,974,0,533,"1,507"
Sherborn,,,"1,684",11,525,"2,220"
Shirley,,,"1,869",61,766,"2,696"
Somerville,1,1,630,20,154,804
Somerville,1,2,551,14,126,691
Somerville,1,3,578,13,117,708
Somerville,1,4,383,7,73,463
Somerville,1,4A,220,6,42,268
Somerville,2,1,540,4,83,627
Somerville,2,1A,244,2,53,299
Somerville,2,2,854,18,165,"1,037"
Somerville,2,3,813,11,168,992
Somerville,2,4,938,8,164,"1,110"
Somerville,3,1,958,17,188,"1,163"
Somerville,3,2,854,21,192,"1,067"
Somerville,3,3,"1,016",14,209,"1,239"
Somerville,3,4,893,8,202,"1,103"
Somerville,4,1,634,14,167,815
Somerville,4,2,515,8,99,622
Somerville,4,2A,196,4,40,240
Somerville,4,3,882,14,186,"1,082"
Somerville,4,4,504,12,132,648
Somerville,5,1,956,11,222,"1,189"
Somerville,5,2,"1,018",16,193,"1,227"
Somerville,5,3,"1,017",11,207,"1,235"
Somerville,5,4,"1,075",17,208,"1,300"
Somerville,6,1,"1,059",28,169,"1,256"
Somerville,6,2,"1,139",19,254,"1,412"
Somerville,6,3,297,2,53,352
Somerville,6,3A,156,1,41,198
Somerville,6,4,"1,130",8,232,"1,370"
Somerville,7,1,"1,178",17,200,"1,395"
Somerville,7,2,796,8,133,937
Somerville,7,3,735,10,182,927
Somerville,7,4,853,15,176,"1,044"
Stoneham,-,1,904,24,402,"1,330"
Stoneham,-,2,992,23,421,"1,436"
Stoneham,-,3,"1,074",26,531,"1,631"
Stoneham,-,4,914,27,476,"1,417"
Stoneham,-,5,"1,037",37,510,"1,584"
Stoneham,-,6,"1,151",44,515,"1,710"
Stoneham,-,7,920,27,418,"1,365"
Stow,-,1,"1,474",18,492,"1,984"
Stow,-,2,"1,446",15,449,"1,910"
Sudbury,-,1,"1,211",0,383,"1,594"
Sudbury,-,2,"1,200",0,378,"1,578"
Sudbury,-,3,"1,031",0,377,"1,408"
Sudbury,-,4,"1,165",0,366,"1,531"
Sudbury,-,5,"1,115",0,375,"1,490"
Sudbury,-,6,"1,159",0,390,"1,549"
Tewksbury,-,1,982,44,450,"1,476"
Tewksbury,-,2,"1,196",55,511,"1,762"
Tewksbury,-,3,"1,037",43,491,"1,571"
Tewksbury,-,4,"1,082",36,459,"1,577"
Tewksbury,-,5,"1,044",45,436,"1,525"
Tewksbury,-,5A,181,7,57,245
Tewksbury,-,6,"1,070",56,505,"1,631"
Tewksbury,-,7,"1,295",64,578,"1,937"
Tewksbury,-,8,"1,164",54,489,"1,707"
Townsend,-,1,838,7,479,"1,324"
Townsend,-,2,845,21,464,"1,330"
Townsend,-,3,897,18,427,"1,342"
Tyngsborough,-,1,876,0,459,"1,335"
Tyngsborough,-,2,789,0,446,"1,235"
Tyngsborough,-,3,827,0,331,"1,158"
Tyngsborough,-,4,"1,063",0,547,"1,610"
Wakefield,-,1,"1,037",31,577,"1,645"
Wakefield,-,2,"1,071",25,474,"1,570"
Wakefield,-,3,"1,230",36,578,"1,844"
Wakefield,-,4,"1,031",28,480,"1,539"
Wakefield,-,5,"1,253",36,543,"1,832"
Wakefield,-,6,"1,362",30,602,"1,994"
Wakefield,-,7,"1,201",36,618,"1,855"
Waltham,1,1,"1,162",18,352,"1,532"
Waltham,1,2,"1,181",20,367,"1,568"
Waltham,1,2A,11,1,3,15
Waltham,2,1,"1,137",15,300,"1,452"
Waltham,2,2,803,14,160,977
Waltham,3,1,"1,177",15,401,"1,593"
Waltham,3,2,"1,175",17,294,"1,486"
Waltham,3,2A,24,0,6,30
Waltham,4,1,"1,199",19,320,"1,538"
Waltham,4,1A,21,1,4,26
Waltham,4,2,208,3,53,264
Waltham,5,1,869,19,237,"1,125"
Waltham,5,2,583,7,111,701
Waltham,5,2A,102,0,22,124
Waltham,6,1,889,22,173,"1,084"
Waltham,6,2,529,6,113,648
Waltham,6,2A,115,1,30,146
Waltham,7,1,"1,128",13,298,"1,439"
Waltham,7,2,353,5,76,434
Waltham,8,1,867,12,164,"1,043"
Waltham,8,2,901,15,184,"1,100"
Waltham,8,2A,9,1,1,11
Waltham,9,1,681,13,108,802
Waltham,9,2,625,17,129,771
Watertown,-,1,774,0,184,958
Watertown,-,2,927,1,188,"1,116"
Watertown,-,3,"1,049",1,225,"1,275"
Watertown,-,4,"1,201",1,276,"1,478"
Watertown,-,5,751,2,168,921
Watertown,-,6,869,7,186,"1,062"
Watertown,-,7,"1,030",10,266,"1,306"
Watertown,-,8,"1,013",0,243,"1,256"
Watertown,-,9,786,2,209,997
Watertown,-,10,"1,000",4,262,"1,266"
Watertown,-,11,987,1,264,"1,252"
Watertown,-,12,902,5,258,"1,165"
Wayland,-,1,"1,404",22,418,"1,844"
Wayland,-,2,"1,231",21,368,"1,620"
Wayland,-,3,"1,184",18,343,"1,545"
Wayland,-,4,"1,435",20,400,"1,855"
Westford,-,1,"1,064",23,403,"1,490"
Westford,-,2,"1,096",31,349,"1,476"
Westford,-,3,"1,300",26,414,"1,740"
Westford,-,4,"1,185",23,385,"1,593"
Westford,-,5,"1,194",32,409,"1,635"
Westford,-,6,"1,188",33,416,"1,637"
Westford,-,7,"1,346",34,379,"1,759"
Weston,-,1,"1,066",21,365,"1,452"
Weston,-,2,903,11,358,"1,272"
Weston,-,3,824,10,332,"1,166"
Weston,-,4,876,16,394,"1,286"
Wilmington,-,1,"1,296",47,476,"1,819"
Wilmington,-,2,"1,199",31,534,"1,764"
Wilmington,-,3,"1,145",4,532,"1,681"
Wilmington,-,4,"1,200",37,542,"1,779"
Wilmington,-,5,"1,157",38,445,"1,640"
Wilmington,-,6,"1,219",66,579,"1,864"
Winchester,-,1,948,15,376,"1,339"
Winchester,-,2,824,21,291,"1,136"
Winchester,-,3,"1,048",18,402,"1,468"
Winchester,-,4,919,22,486,"1,427"
Winchester,-,5,895,19,412,"1,326"
Winchester,-,6,907,11,432,"1,350"
Winchester,-,7,944,23,441,"1,408"
Winchester,-,8,654,15,282,951
Woburn,1,1,605,5,309,919
Woburn,1,2,651,14,344,"1,009"
Woburn,1,2A,59,1,16,76
Woburn,2,1,756,10,414,"1,180"
Woburn,2,2,656,4,247,907
Woburn,3,1,754,12,363,"1,129"
Woburn,3,2,899,13,554,"1,466"
Woburn,4,1,788,8,460,"1,256"
Woburn,4,2,682,8,358,"1,048"
Woburn,5,1,730,6,277,"1,013"
Woburn,5,2,690,9,358,"1,057"
Woburn,6,1,485,4,224,713
Woburn,6,2,716,10,423,"1,149"
Woburn,7,1,823,1,620,"1,444"
Woburn,7,2,919,3,543,"1,465"
TOTALS,,,"451,548","6,852","153,825","612,225"
