City/Town,Ward,Pct,"Katherine M. Clark","Caroline Colarusso","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,-,1,856,174,1,38,"1,069"
Arlington,-,2,"1,172",231,0,41,"1,444"
Arlington,-,3,"1,211",152,0,35,"1,398"
Arlington,-,4,"1,087",184,0,47,"1,318"
Arlington,-,5,"1,080",214,0,38,"1,332"
Arlington,-,6,"1,060",198,0,31,"1,289"
Arlington,-,7,"1,075",171,0,31,"1,277"
Arlington,-,8,"1,233",210,1,37,"1,481"
Arlington,-,9,"1,006",224,4,46,"1,280"
Arlington,-,10,"1,217",202,5,33,"1,457"
Arlington,-,11,"1,144",296,1,34,"1,475"
Arlington,-,12,"1,257",248,1,56,"1,562"
Arlington,-,13,952,402,1,45,"1,400"
Arlington,-,14,"1,099",202,1,30,"1,332"
Arlington,-,15,"1,156",307,0,40,"1,503"
Arlington,-,16,"1,066",227,2,26,"1,321"
Arlington,-,17,"1,052",188,0,32,"1,272"
Arlington,-,18,"1,078",327,2,53,"1,460"
Arlington,-,19,"1,124",249,0,36,"1,409"
Arlington,-,20,"1,071",221,2,38,"1,332"
Arlington,-,21,"1,130",182,0,36,"1,348"
Ashland,-,1,"1,320",598,0,83,"2,001"
Ashland,-,2,"1,452",642,0,91,"2,185"
Ashland,-,3,"1,348",620,0,61,"2,029"
Ashland,-,4,"1,334",585,0,78,"1,997"
Ashland,-,5,"1,639",620,0,93,"2,352"
Belmont,-,1,"1,484",402,1,72,"1,959"
Belmont,-,2,"1,482",560,0,79,"2,121"
Belmont,-,3,"1,383",411,2,79,"1,875"
Belmont,-,4,"1,237",351,1,69,"1,658"
Belmont,-,5,"1,408",380,0,59,"1,847"
Belmont,-,6,"1,513",352,0,49,"1,914"
Belmont,-,7,"1,541",365,0,53,"1,959"
Belmont,-,8,"1,518",558,1,82,"2,159"
Cambridge,3,2A,704,57,0,27,788
Cambridge,4,2,"1,834",127,1,65,"2,027"
Cambridge,4,3,605,49,0,23,677
Cambridge,6,1,"1,807",109,2,53,"1,971"
Cambridge,6,2,"1,659",98,2,35,"1,794"
Cambridge,6,3,"1,778",143,4,48,"1,973"
Cambridge,7,1,"1,701",94,1,49,"1,845"
Cambridge,7,2,827,66,1,32,926
Cambridge,7,3,497,44,0,12,553
Cambridge,8,1,"1,174",84,3,38,"1,299"
Cambridge,8,2,"1,173",87,0,29,"1,289"
Cambridge,8,3,265,22,0,8,295
Cambridge,9,1,"2,043",154,2,53,"2,252"
Cambridge,9,2,"2,190",231,4,50,"2,475"
Cambridge,9,3,"1,684",202,5,56,"1,947"
Cambridge,10,1,"2,052",123,0,68,"2,243"
Cambridge,10,2,"1,957",120,3,45,"2,125"
Framingham,-,1,"1,743",681,2,93,"2,519"
Framingham,-,2,"2,104",762,4,114,"2,984"
