City/Town,Ward,Pct,"Richard E. Neal","Alex B. Morse","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Adams,-,1,634,0,11,160,805
Adams,-,2,731,0,19,149,899
Adams,-,3,756,0,1,200,957
Adams,-,4,637,0,6,162,805
Adams,-,5,808,0,9,185,"1,002"
Agawam,-,1,"1,173",7,75,529,"1,784"
Agawam,-,2,"1,408",11,80,716,"2,215"
Agawam,-,3,"1,430",8,92,582,"2,112"
Agawam,-,4,"1,172",17,68,471,"1,728"
Agawam,-,5,"1,459",17,81,693,"2,250"
Agawam,-,6,"1,271",17,72,583,"1,943"
Agawam,-,7,"1,318",7,77,640,"2,042"
Agawam,-,8,"1,447",9,89,643,"2,188"
Alford,-,1,275,2,0,53,330
Ashfield,-,1,969,9,5,247,"1,230"
Becket,-,1,843,7,32,316,"1,198"
Bernardston,-,1,"1,044",6,0,335,"1,385"
Blandford,-,1,464,0,19,298,781
Brimfield,-,1,"1,522",3,7,817,"2,349"
Brookfield,-,1,"1,392",0,71,599,"2,062"
Buckland,-,1,933,7,30,233,"1,203"
Charlemont,-,1,548,0,5,196,749
Charlton,-,1,"1,290",0,25,623,"1,938"
Charlton,-,2,"1,361",0,23,726,"2,110"
Charlton,-,3,"1,433",0,37,688,"2,158"
Charlton,-,4,"1,318",0,61,584,"1,963"
Cheshire,-,1,"1,429",2,48,487,"1,966"
Chester,-,1,457,0,19,273,749
Chesterfield,-,1,601,1,1,230,833
Chicopee,1,A,"1,135",0,68,320,"1,523"
Chicopee,1,B,"1,395",0,70,384,"1,849"
Chicopee,2,A,810,6,37,149,"1,002"
Chicopee,2,B,"1,269",4,57,381,"1,711"
Chicopee,3,A,"1,065",0,56,280,"1,401"
Chicopee,3,B,899,0,48,205,"1,152"
Chicopee,4,A,"1,026",0,59,241,"1,326"
Chicopee,4,B,"1,000",0,46,235,"1,281"
Chicopee,5,A,"1,158",0,57,268,"1,483"
Chicopee,5,B,"1,039",0,52,256,"1,347"
Chicopee,6,AN,315,0,12,69,396
Chicopee,6,AS,631,6,26,234,897
Chicopee,6,BE,"1,086",0,65,391,"1,542"
Chicopee,6,BW,238,0,13,95,346
Chicopee,7,A,834,0,55,197,"1,086"
Chicopee,7,B,"1,032",6,39,205,"1,282"
Chicopee,8,A,"1,142",0,66,343,"1,551"
Chicopee,8,B,"1,045",3,42,290,"1,380"
Chicopee,9,A,"1,141",0,74,314,"1,529"
Chicopee,9,B,"1,375",0,76,391,"1,842"
Clarksburg,-,1,746,0,6,250,"1,002"
Colrain,-,1,760,9,6,237,"1,012"
Conway,-,1,"1,022",0,28,258,"1,308"
Cummington,-,1,431,13,4,148,596
Dalton,-,1,"1,460",7,11,443,"1,921"
Dalton,-,2,"1,520",0,33,358,"1,911"
Dudley,-,1,"1,598",3,12,739,"2,352"
Dudley,-,2,"1,406",2,58,568,"2,034"
Dudley,-,3,"1,169",1,34,525,"1,729"
"E. Brookfield",-,1,926,1,15,428,"1,370"
"E. Longmeadow",-,1,"1,862",4,106,628,"2,600"
"E. Longmeadow",-,2,"1,702",6,67,579,"2,354"
"E. Longmeadow",-,3,"1,850",6,77,643,"2,576"
"E. Longmeadow",-,4,"1,743",12,99,787,"2,641"
Easthampton,-,1,"1,530",0,53,383,"1,966"
Easthampton,-,2,"1,749",0,72,354,"2,175"
Easthampton,-,3,"1,566",0,72,371,"2,009"
Easthampton,-,4,"1,823",0,76,384,"2,283"
Easthampton,-,5,"1,687",0,41,487,"2,215"
Egremont,-,1,779,6,6,185,976
Florida,-,1,300,0,0,120,420
Goshen,-,1,481,5,4,183,673
Granby,-,1,"1,455",19,0,593,"2,067"
Granby,-,2,"1,227",19,2,662,"1,910"
Granville,-,1,618,0,0,384,"1,002"
"Great Barrington",-,A,908,0,19,169,"1,096"
"Great Barrington",-,B,913,6,5,171,"1,095"
"Great Barrington",-,C,687,0,25,101,813
"Great Barrington",-,D,912,0,24,187,"1,123"
Hampden,-,1,"2,273",0,45,"1,057","3,375"
Hancock,-,1,354,0,1,127,482
Hawley,-,1,177,0,0,54,231
Heath,-,1,344,4,2,120,470
Hinsdale,-,1,940,0,6,270,"1,216"
Holland,-,1,"1,027",0,75,456,"1,558"
Holyoke,1,A,507,0,5,139,651
Holyoke,1,B,637,0,1,165,803
Holyoke,2,A,630,0,0,145,775
Holyoke,2,B,564,1,0,134,699
Holyoke,3,A,"1,014",7,2,217,"1,240"
Holyoke,3,B,"1,147",7,7,322,"1,483"
Holyoke,4,A,523,14,0,123,660
Holyoke,4,B,835,18,4,185,"1,042"
Holyoke,5,A,"1,436",9,7,499,"1,951"
Holyoke,5,B,"1,002",13,2,309,"1,326"
Holyoke,6,A,899,8,0,187,"1,094"
Holyoke,6,B,"1,074",31,1,265,"1,371"
Holyoke,7,A,"1,365",38,7,425,"1,835"
Holyoke,7,B,"1,187",37,4,325,"1,553"
Huntington,-,1,805,8,20,390,"1,223"
Lanesborough,-,1,"1,413",1,40,442,"1,896"
Lee,-,1,"2,719",23,28,736,"3,506"
Lenox,-,1,"2,750",0,61,571,"3,382"
Leyden,-,1,367,5,2,129,503
Longmeadow,-,A,"1,643",0,85,398,"2,126"
Longmeadow,-,B,"1,493",0,66,369,"1,928"
Longmeadow,-,C,"1,664",0,77,507,"2,248"
Longmeadow,-,D,"1,540",0,58,428,"2,026"
Longmeadow,-,E,"1,644",0,77,407,"2,128"
Ludlow,-,1,"1,448",0,65,507,"2,020"
Ludlow,-,2,"1,102",0,40,328,"1,470"
Ludlow,-,3,"1,507",0,78,686,"2,271"
Ludlow,-,4,"1,341",0,52,505,"1,898"
Ludlow,-,5,"1,061",0,43,399,"1,503"
Ludlow,-,6,"1,567",0,64,660,"2,291"
Middlefield,-,1,243,0,5,87,335
Monroe,-,1,39,0,0,21,60
Monson,-,A,"1,119",16,67,511,"1,713"
Monson,-,B,"1,067",1,76,578,"1,722"
Monson,-,C,"1,162",10,71,527,"1,770"
Monterey,-,1,489,3,3,101,596
Montgomery,-,1,362,0,4,199,565
"Mount Washington",-,1,108,2,0,18,128
"New Ashford",-,1,125,0,0,30,155
"New Marlborough",-,1,735,2,0,229,966
"N. Adams",1,1,"1,065",9,0,275,"1,349"
"N. Adams",2,2,965,0,0,201,"1,166"
"N. Adams",3,3,770,0,0,158,928
"N. Adams",4,4,"1,056",7,0,321,"1,384"
"N. Adams",5,5,926,4,0,229,"1,159"
Otis,-,1,660,12,15,330,"1,017"
Palmer,-,1,"1,072",0,67,462,"1,601"
Palmer,-,2,"1,134",6,58,571,"1,769"
Palmer,-,3,"1,030",3,40,318,"1,391"
Palmer,-,4,"1,006",10,48,478,"1,542"
Peru,-,1,388,0,2,145,535
Pittsfield,1,A,"1,024",2,15,244,"1,285"
Pittsfield,1,B,"1,241",6,4,348,"1,599"
Pittsfield,2,A,756,6,5,153,920
Pittsfield,2,B,"1,355",1,6,321,"1,683"
Pittsfield,3,A,"1,455",20,14,341,"1,830"
Pittsfield,3,B,"1,518",4,16,379,"1,917"
Pittsfield,4,A,"1,476",20,18,342,"1,856"
Pittsfield,4,B,"1,655",7,10,467,"2,139"
Pittsfield,5,A,"1,220",16,8,302,"1,546"
Pittsfield,5,B,"1,327",10,23,358,"1,718"
Pittsfield,6,A,"1,341",4,5,294,"1,644"
Pittsfield,6,B,931,7,9,209,"1,156"
Pittsfield,7,A,830,7,9,209,"1,055"
Pittsfield,7,B,"1,308",10,17,343,"1,678"
Plainfield,-,1,335,0,11,100,446
Richmond,-,1,870,5,17,172,"1,064"
Rowe,-,1,177,0,5,87,269
Russell,-,1,608,1,14,306,929
Sandisfield,-,1,357,1,3,162,523
Savoy,-,1,297,0,3,127,427
Sheffield,-,1,"1,687",0,27,460,"2,174"
Shelburne,-,1,937,23,29,253,"1,242"
"S. Hadley",-,A,"1,620",34,68,363,"2,085"
"S. Hadley",-,B,"1,715",26,64,410,"2,215"
"S. Hadley",-,C,"1,650",11,80,492,"2,233"
"S. Hadley",-,D,"1,005",13,22,267,"1,307"
"S. Hadley",-,E,"1,685",33,51,493,"2,262"
Southampton,-,1,"2,811",0,201,"1,209","4,221"
Southbridge,-,1,"1,096",0,50,306,"1,452"
Southbridge,-,2,958,0,46,276,"1,280"
Southbridge,-,3,"1,020",0,75,388,"1,483"
Southbridge,-,4,"1,344",0,58,489,"1,891"
Southbridge,-,5,925,0,49,229,"1,203"
Southwick,-,1,"1,225",6,104,811,"2,146"
Southwick,-,2,"1,061",8,58,594,"1,721"
Southwick,-,3,"1,211",8,75,607,"1,901"
Springfield,1,A,425,0,19,96,540
Springfield,1,B,611,3,16,100,730
Springfield,1,C,430,0,14,74,518
Springfield,1,D,515,0,19,85,619
Springfield,1,E,614,0,16,95,725
Springfield,1,F,505,1,6,117,629
Springfield,1,G,581,0,21,91,693
Springfield,1,H,591,0,18,91,700
Springfield,2,A,596,1,14,96,707
Springfield,2,B,844,5,26,180,"1,055"
Springfield,2,C,633,5,24,102,764
Springfield,2,D,880,1,33,110,"1,024"
Springfield,2,E,821,1,35,159,"1,016"
Springfield,2,F,924,0,29,163,"1,116"
Springfield,2,G,959,0,57,197,"1,213"
Springfield,2,H,843,2,26,168,"1,039"
Springfield,3,A,479,0,8,68,555
Springfield,3,B,440,0,14,71,525
Springfield,3,C,357,1,12,61,431
Springfield,3,D,522,0,18,72,612
Springfield,3,E,410,0,28,56,494
Springfield,3,F,462,0,18,96,576
Springfield,3,G,413,0,9,63,485
Springfield,3,H,549,0,19,104,672
Springfield,4,A,709,0,20,105,834
Springfield,4,B,700,0,16,90,806
Springfield,4,C,537,1,12,53,603
Springfield,4,D,602,0,13,59,674
Springfield,4,E,544,0,10,70,624
Springfield,4,F,207,2,2,18,229
Springfield,4,G,685,0,5,88,778
Springfield,4,H,625,1,4,70,700
Springfield,5,A,693,0,17,55,765
Springfield,5,B,889,2,32,123,"1,046"
Springfield,5,C,729,3,28,147,907
Springfield,5,D,995,5,43,252,"1,295"
Springfield,5,E,"1,066",4,20,158,"1,248"
Springfield,5,F,945,0,26,182,"1,153"
Springfield,5,G,"1,064",0,63,287,"1,414"
Springfield,5,H,726,0,36,196,958
Springfield,6,A,599,6,17,97,719
Springfield,6,B,853,8,31,212,"1,104"
