City/Town,Ward,Pct,"Stephen F. Lynch","Jonathan D. Lott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Brockton,7,C,"1,061",159,1,105,"1,326"
Brockton,7,D,"1,112",241,1,128,"1,482"
Canton,-,1,"1,586",408,13,224,"2,231"
Canton,-,2,"1,774",412,10,291,"2,487"
Canton,-,3,"1,697",370,1,296,"2,364"
Canton,-,4,"1,899",512,6,352,"2,769"
Canton,-,5,"1,719",423,9,294,"2,445"
Canton,-,6,"1,615",378,4,278,"2,275"
Cohasset,-,1,"1,913",411,17,390,"2,731"
Cohasset,-,2,"2,127",437,12,420,"2,996"
Dedham,-,1,"1,705",324,6,285,"2,320"
Dedham,-,2,"1,626",371,20,267,"2,284"
Dedham,-,3,"1,543",342,10,197,"2,092"
Dedham,-,4,"1,613",323,14,251,"2,201"
Dedham,-,5,"1,759",353,14,259,"2,385"
Dedham,-,6,"1,763",375,16,289,"2,443"
Dedham,-,7,"1,617",332,16,291,"2,256"
"E. Bridgewater",-,1,"1,283",549,9,361,"2,202"
"E. Bridgewater",-,2,"1,275",567,12,314,"2,168"
"E. Bridgewater",-,3,"1,415",526,10,374,"2,325"
"E. Bridgewater",-,4,"1,298",527,5,296,"2,126"
Hingham,-,1,"2,036",411,20,289,"2,756"
Hingham,-,2,"2,047",433,20,342,"2,842"
Hingham,-,3,"1,992",430,35,325,"2,782"
Hingham,-,4,"1,795",332,15,369,"2,511"
Hingham,-,5,"1,289",300,21,266,"1,876"
Hingham,-,5A,852,147,4,136,"1,139"
Hingham,-,6,"1,755",378,19,328,"2,480"
Holbrook,-,1,"1,098",291,10,160,"1,559"
Holbrook,-,2,"1,117",338,3,173,"1,631"
Holbrook,-,3,"1,133",276,3,148,"1,560"
Holbrook,-,4,"1,044",304,8,152,"1,508"
Hull,-,1,"1,782",359,6,242,"2,389"
Hull,-,2,"1,534",400,9,237,"2,180"
Hull,-,3,"1,870",388,10,298,"2,566"
Milton,-,2,"1,453",209,10,179,"1,851"
Milton,-,3,"1,507",218,8,207,"1,940"
Milton,-,4,"1,469",223,5,155,"1,852"
Milton,-,6,"1,409",233,8,266,"1,916"
Milton,-,7,"1,294",214,5,176,"1,689"
Milton,-,8,"1,462",215,18,226,"1,921"
Milton,-,9,"1,426",268,23,289,"2,006"
Norwood,-,1,"1,664",325,11,233,"2,233"
Norwood,-,2,"1,451",263,9,201,"1,924"
Norwood,-,3,"1,454",326,8,216,"2,004"
Norwood,-,4,"1,567",300,12,263,"2,142"
Norwood,-,5,"1,197",230,2,126,"1,555"
Norwood,-,6,"1,115",233,6,166,"1,520"
Norwood,-,7,"1,486",322,8,218,"2,034"
Norwood,-,8,"1,481",336,10,224,"2,051"
Norwood,-,9,"1,505",310,9,255,"2,079"
Quincy,1,1,"1,085",275,4,159,"1,523"
Quincy,1,2,892,212,4,143,"1,251"
Quincy,1,3,"1,175",286,9,144,"1,614"
Quincy,1,4,"1,381",348,14,199,"1,942"
Quincy,1,5,"1,429",371,19,200,"2,019"
Quincy,2,1,"1,136",302,11,139,"1,588"
Quincy,2,2,"1,060",241,9,111,"1,421"
Quincy,2,3,508,122,3,61,694
Quincy,2,3A,187,37,0,20,244
Quincy,2,4,947,213,6,146,"1,312"
Quincy,2,5,"1,185",281,10,157,"1,633"
Quincy,3,1,"1,413",338,15,169,"1,935"
Quincy,3,2,"1,055",286,11,124,"1,476"
Quincy,3,3,826,148,3,100,"1,077"
Quincy,3,4,"1,178",247,4,160,"1,589"
Quincy,3,5,525,114,2,52,693
Quincy,4,1,"1,298",358,13,173,"1,842"
Quincy,4,2,"1,297",320,9,171,"1,797"
Quincy,4,3,"1,513",367,14,195,"2,089"
Quincy,4,4,960,221,10,110,"1,301"
Quincy,4,5,"1,115",281,8,122,"1,526"
Quincy,5,1,"1,224",308,3,169,"1,704"
Quincy,5,2,999,256,4,141,"1,400"
Quincy,5,3,"1,228",283,6,159,"1,676"
Quincy,5,4,915,251,7,136,"1,309"
Quincy,5,5,"1,105",262,11,165,"1,543"
Quincy,6,1,"1,026",235,8,133,"1,402"
Quincy,6,2,757,192,15,118,"1,082"
Quincy,6,3,"1,470",354,8,237,"2,069"
Quincy,6,4,950,221,5,120,"1,296"
Quincy,6,5,"1,534",381,10,217,"2,142"
Raynham,-,1,"1,268",492,14,312,"2,086"
Raynham,-,2,993,445,12,292,"1,742"
Scituate,-,1,"1,617",402,9,338,"2,366"
Scituate,-,2,"1,565",396,12,282,"2,255"
Scituate,-,3,"1,660",351,12,268,"2,291"
Scituate,-,4,"1,622",382,5,297,"2,306"
Scituate,-,5,"1,551",337,6,300,"2,194"
Scituate,-,6,"1,567",383,9,294,"2,253"
Stoughton,-,1,"1,465",501,2,181,"2,149"
Stoughton,-,2,"1,276",444,0,187,"1,907"
Stoughton,-,3,"1,354",465,2,202,"2,023"
Stoughton,-,4,"1,429",557,5,303,"2,294"
Stoughton,-,5,"1,091",440,4,193,"1,728"
Stoughton,-,6,"1,625",513,6,246,"2,390"
Stoughton,-,7,"1,221",365,4,153,"1,743"
Stoughton,-,8,"1,019",339,2,169,"1,529"
Walpole,-,1,"1,429",309,5,218,"1,961"
Walpole,-,2,"1,501",376,16,339,"2,232"
Walpole,-,3,"1,508",340,9,284,"2,141"
Walpole,-,4,"1,388",311,10,240,"1,949"
Walpole,-,5,"1,238",287,8,225,"1,758"
Walpole,-,6,"1,451",369,9,271,"2,100"
Walpole,-,7,"1,458",340,11,285,"2,094"
Walpole,-,8,"1,388",345,15,312,"2,060"
"W. Bridgewater",-,1,"1,387",630,7,385,"2,409"
"W. Bridgewater",-,2,"1,356",560,17,323,"2,256"
Westwood,-,1,"1,871",429,7,337,"2,644"
Westwood,-,2,"1,913",420,18,395,"2,746"
Westwood,-,3,"1,825",409,4,366,"2,604"
Westwood,-,4,"1,815",448,13,369,"2,645"
Weymouth,-,1,"1,289",288,11,167,"1,755"
Weymouth,-,2,"1,372",332,12,256,"1,972"
Weymouth,-,3,"1,390",329,9,224,"1,952"
Weymouth,-,4,"1,255",289,10,202,"1,756"
Weymouth,-,5,"1,043",268,7,138,"1,456"
Weymouth,-,6,"1,387",319,8,209,"1,923"
Weymouth,-,7,"1,240",303,14,179,"1,736"
Weymouth,-,8,"1,218",318,14,209,"1,759"
Weymouth,-,9,"1,380",357,13,217,"1,967"
Weymouth,-,10,972,268,5,150,"1,395"
Weymouth,-,11,"1,232",340,13,217,"1,802"
Weymouth,-,12,"1,325",323,14,238,"1,900"
Weymouth,-,13,"1,088",238,6,149,"1,481"
Weymouth,-,14,"1,180",272,8,169,"1,629"
Weymouth,-,15,"1,438",350,12,237,"2,037"
Weymouth,-,16,"1,390",349,15,261,"2,015"
Weymouth,-,17,"1,077",271,14,176,"1,538"
Weymouth,-,18,"2,109",498,17,348,"2,972"
Whitman,-,1,"1,619",513,15,292,"2,439"
Whitman,-,2,"1,357",511,18,245,"2,131"
Whitman,-,3,"1,277",537,16,246,"2,076"
Whitman,-,4,"1,333",462,6,232,"2,033"
TOTALS,,,"310,940","72,060","2,401","48,144","433,545"
