City/Town,Ward,Pct,"Lori Loureiro Trahan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,7,3,492,2,177,671
Lowell,8,1,887,8,243,"1,138"
Lowell,8,2,975,9,371,"1,355"
Lowell,8,3,"1,288",12,476,"1,776"
Lowell,9,1,888,11,232,"1,131"
Lowell,9,2,"1,071",10,324,"1,405"
Lowell,9,3,967,6,273,"1,246"
Lowell,10,1,831,5,248,"1,084"
Lowell,10,2,600,7,185,792
Lowell,10,3,509,1,129,639
Lowell,11,1,992,25,259,"1,276"
Lowell,11,2,986,8,413,"1,407"
Lowell,11,3,992,9,299,"1,300"
Lunenburg,-,A,"1,306",90,427,"1,823"
Lunenburg,-,B,"1,231",65,386,"1,682"
Lunenburg,-,C,"1,368",107,515,"1,990"
Lunenburg,-,D,"1,233",73,423,"1,729"
Marlborough,1,1,944,7,325,"1,276"
Marlborough,1,2,"1,353",18,490,"1,861"
Marlborough,2,1,"1,095",17,402,"1,514"
Marlborough,2,2,991,18,283,"1,292"
Marlborough,3,1,816,9,234,"1,059"
Marlborough,3,2,"1,478",24,429,"1,931"
Marlborough,4,1,668,12,215,895
Marlborough,4,2,"1,226",15,416,"1,657"
Marlborough,5,1,741,16,196,953
Marlborough,5,2,"1,161",19,360,"1,540"
Marlborough,6,1,841,14,221,"1,076"
Marlborough,6,2,"1,247",27,451,"1,725"
Marlborough,7,1,960,25,317,"1,302"
Marlborough,7,2,902,20,290,"1,212"
Maynard,-,1,"1,385",32,324,"1,741"
Maynard,-,2,"1,312",19,305,"1,636"
Maynard,-,3,"1,465",39,342,"1,846"
Maynard,-,4,"1,232",33,315,"1,580"
Methuen,-,1,"1,382",65,568,"2,015"
Methuen,-,2,"1,035",30,188,"1,253"
Methuen,-,3,"1,506",61,537,"2,104"
Methuen,-,4,"1,492",40,458,"1,990"
Methuen,-,5,"1,403",35,417,"1,855"
Methuen,-,6,"1,494",53,470,"2,017"
Methuen,-,7,"1,654",62,679,"2,395"
Methuen,-,8,"1,697",88,916,"2,701"
Methuen,-,9,"1,600",59,793,"2,452"
Methuen,-,10,"1,529",56,521,"2,106"
Methuen,-,11,"1,746",80,805,"2,631"
Methuen,-,12,"1,689",74,814,"2,577"
Pepperell,-,1,"1,708",69,714,"2,491"
Pepperell,-,2,"1,693",86,764,"2,543"
Pepperell,-,3,"1,630",83,605,"2,318"
Shirley,-,1,"2,617",93,"1,007","3,717"
Stow,-,1,"1,935",35,587,"2,557"
Stow,-,2,"1,823",32,585,"2,440"
Sudbury,-,1,"1,384",33,423,"1,840"
Townsend,-,1,"1,176",25,612,"1,813"
Townsend,-,2,"1,183",16,602,"1,801"
Townsend,-,3,"1,299",30,552,"1,881"
Tyngsborough,-,1,"1,230",0,536,"1,766"
Tyngsborough,-,2,"1,309",0,574,"1,883"
Tyngsborough,-,3,"1,417",0,558,"1,975"
Tyngsborough,-,4,"1,379",0,601,"1,980"
Westford,-,1,"1,950",59,638,"2,647"
Westford,-,2,"2,077",60,538,"2,675"
Westford,-,3,"1,940",59,520,"2,519"
Westford,-,4,"2,105",62,512,"2,679"
Westford,-,5,"1,917",41,520,"2,478"
Westford,-,6,"1,808",60,517,"2,385"
Westminster,-,1,"1,910",22,769,"2,701"
Westminster,-,2,"1,793",66,773,"2,632"
Winchendon,-,1A,269,0,102,371
Winchendon,-,2,"1,209",72,512,"1,793"
Winchendon,-,3,"1,191",17,567,"1,775"
TOTALS,,,"286,896","6,643","94,671","388,210"
