City/Town,Ward,Pct,"Jake Auchincloss","Julie A. Hall","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Attleboro,1,A,863,942,4,52,"1,861"
Attleboro,1,B,885,974,4,62,"1,925"
Attleboro,2,A,977,"1,000",2,58,"2,037"
Attleboro,2,B,"1,059","1,145",2,89,"2,295"
Attleboro,3,A,"1,100",928,3,58,"2,089"
Attleboro,3,B,"1,041",949,4,62,"2,056"
Attleboro,4,A,886,693,4,45,"1,628"
Attleboro,4,B,"1,183","1,367",4,66,"2,620"
Attleboro,5,A,723,481,2,36,"1,242"
Attleboro,5,B,993,891,1,66,"1,951"
Attleboro,6,A,882,930,4,84,"1,900"
Attleboro,6,B,"1,008","1,005",8,66,"2,087"
Bellingham,-,1,939,865,4,83,"1,891"
Bellingham,-,2,998,"1,032",3,126,"2,159"
Bellingham,-,3,"1,104",955,113,1,"2,173"
Bellingham,-,4,743,779,1,60,"1,583"
Berkley,-,1,885,"1,196",9,131,"2,221"
Berkley,-,2,722,"1,087",3,110,"1,922"
Brookline,-,1,"1,591",184,12,70,"1,857"
Brookline,-,2,"1,051",147,8,71,"1,277"
Brookline,-,3,"1,602",230,28,85,"1,945"
Brookline,-,4,"1,432",238,17,89,"1,776"
Brookline,-,5,"1,781",224,13,98,"2,116"
Brookline,-,6,"1,754",184,21,83,"2,042"
Brookline,-,7,"1,488",224,2,106,"1,820"
Brookline,-,8,"1,629",152,0,102,"1,883"
Brookline,-,9,"1,622",216,21,107,"1,966"
Brookline,-,10,"1,654",246,17,74,"1,991"
Brookline,-,11,"1,757",225,27,89,"2,098"
Brookline,-,12,"1,972",275,31,101,"2,379"
Brookline,-,13,"1,687",285,16,82,"2,070"
Brookline,-,14,"1,672",378,5,85,"2,140"
Brookline,-,15,"1,592",451,7,108,"2,158"
Brookline,-,16,"1,392",307,16,72,"1,787"
Dighton,-,1,889,"1,197",2,125,"2,213"
Dighton,-,2,"1,027","1,360",5,138,"2,530"
Dover,-,1,"2,347","1,527",9,181,"4,064"
Easton,-,1,725,566,0,90,"1,381"
Easton,-,2,"1,442","1,096",5,194,"2,737"
Easton,-,3,"1,301",959,5,131,"2,396"
Easton,-,4,"1,400","1,041",3,147,"2,591"
Easton,-,5,"1,577","1,175",3,176,"2,931"
Easton,-,6,"1,287","1,136",6,140,"2,569"
"Fall River",4,C,544,275,0,91,910
"Fall River",5,B1,64,47,0,14,125
"Fall River",5,C,479,295,0,68,842
"Fall River",6,C1,19,12,0,0,31
"Fall River",7,A,675,469,2,99,"1,245"
"Fall River",7,B,571,358,0,68,997
"Fall River",7,C,717,420,0,93,"1,230"
"Fall River",8,A,621,420,0,69,"1,110"
"Fall River",8,B,851,591,0,153,"1,595"
"Fall River",8,C,908,695,0,175,"1,778"
"Fall River",9,A,"1,087",825,1,195,"2,108"
"Fall River",9,B,714,534,4,112,"1,364"
"Fall River",9,C,920,628,0,100,"1,648"
Foxborough,-,1,"1,079",833,4,101,"2,017"
Foxborough,-,2,"1,231","1,011",2,138,"2,382"
Foxborough,-,3,"1,197","1,035",0,117,"2,349"
Foxborough,-,4,"1,228","1,041",0,125,"2,394"
Foxborough,-,5,"1,206",964,1,112,"2,283"
Franklin,-,1,"1,198",932,2,139,"2,271"
Franklin,-,2,"1,423","1,031",3,132,"2,589"
Franklin,-,3,"1,300","1,036",6,121,"2,463"
Franklin,-,4,"1,456","1,260",2,113,"2,831"
Franklin,-,5,"1,576","1,127",4,136,"2,843"
Franklin,-,6,"1,295",794,2,124,"2,215"
Franklin,-,7,"1,515","1,038",1,141,"2,695"
Franklin,-,8,"1,298","1,184",9,154,"2,645"
Freetown,-,1,771,964,5,94,"1,834"
Freetown,-,2,764,998,2,92,"1,856"
Freetown,-,3,753,998,2,90,"1,843"
Hopedale,-,1,"2,001","1,640",3,157,"3,801"
Hopkinton,-,1,"1,864",913,6,117,"2,900"
Hopkinton,-,2,"1,537",932,4,103,"2,576"
Hopkinton,-,3,"1,389",903,2,107,"2,401"
Hopkinton,-,4,"1,488",884,6,99,"2,477"
Lakeville,-,1,916,"1,262",1,114,"2,293"
Lakeville,-,2,896,"1,343",4,126,"2,369"
Lakeville,-,3,"1,148","1,424",2,141,"2,715"
Mansfield,-,1,"1,196","1,168",1,137,"2,502"
Mansfield,-,2,"1,352","1,062",6,134,"2,554"
Mansfield,-,3,"1,314","1,152",4,124,"2,594"
Mansfield,-,4,"1,305",998,2,127,"2,432"
Mansfield,-,5,"1,292",856,4,97,"2,249"
Mansfield,-,6,"1,367",827,4,108,"2,306"
Medfield,-,1,"1,308",757,0,124,"2,189"
Medfield,-,2,"1,254",744,0,109,"2,107"
Medfield,-,3,"1,207",826,0,117,"2,150"
Medfield,-,4,"1,127",753,0,160,"2,040"
Medway,-,1,"1,018",867,6,113,"2,004"
Medway,-,2,"1,154",868,6,91,"2,119"
Medway,-,3,"1,200",859,9,80,"2,148"
Medway,-,4,"1,198",909,5,92,"2,204"
Milford,-,1,629,454,1,65,"1,149"
Milford,-,2,963,661,2,94,"1,720"
Milford,-,3,944,782,2,106,"1,834"
Milford,-,4,721,502,6,94,"1,323"
Milford,-,5,"1,303","1,065",2,142,"2,512"
Milford,-,6,"1,040",731,2,83,"1,856"
Milford,-,7,"1,190",953,1,93,"2,237"
Milford,-,8,"1,163",774,1,107,"2,045"
Millis,-,1,"1,060",709,2,63,"1,834"
