City/Town,Ward,Pct,"Jonathan D. Zlotnik","Bruce K. Chester","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashburnham,-,1,761,674,2,29,"1,466"
Ashburnham,-,2,766,585,1,29,"1,381"
Gardner,1,A,490,297,1,17,805
Gardner,1,B,215,193,0,6,414
Gardner,2,A,391,276,0,13,680
Gardner,2,B,377,352,0,11,740
Gardner,3,A,291,233,0,6,530
Gardner,3,B,433,257,1,4,695
Gardner,4,A,360,210,0,4,574
Gardner,4,B,253,166,0,4,423
Gardner,5,A,272,220,0,9,501
Gardner,5,B,435,356,0,16,807
Templeton,-,A,528,650,0,25,"1,203"
Templeton,-,B,461,534,0,21,"1,016"
Templeton,-,C,504,421,0,19,944
Winchendon,-,2,564,623,1,42,"1,230"
Winchendon,-,3,566,617,1,30,"1,214"
TOTALS,,,"7,667","6,664",7,285,"14,623"
