City/Town,Ward,Pct,"Erika Uyterhoeven","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Somerville,1,4A,224,7,37,268
Somerville,2,1,561,6,60,627
Somerville,2,2,904,11,122,"1,037"
Somerville,2,3,866,10,116,992
Somerville,2,4,988,8,114,"1,110"
Somerville,3,1,"1,011",11,141,"1,163"
Somerville,3,2,877,26,164,"1,067"
Somerville,3,3,"1,070",11,158,"1,239"
Somerville,3,4,947,11,145,"1,103"
Somerville,4,2A,200,3,37,240
Somerville,5,1,998,14,177,"1,189"
Somerville,5,2,"1,050",29,148,"1,227"
Somerville,5,3,"1,061",9,165,"1,235"
Somerville,5,4,"1,145",11,144,"1,300"
Somerville,6,1,"1,105",23,128,"1,256"
Somerville,6,2,"1,201",23,188,"1,412"
Somerville,6,3,308,3,41,352
Somerville,6,4,"1,182",11,177,"1,370"
TOTALS,,,"15,698",227,"2,262","18,187"
