City/Town,Ward,Pct,"Daniel J. Hunt","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,13,3,346,7,73,426
Boston,13,6,431,4,79,514
Boston,13,7,456,19,134,609
Boston,13,8,384,9,125,518
Boston,13,9,472,8,127,607
Boston,13,10,715,21,254,990
Boston,15,6,247,12,103,362
Boston,15,8,242,8,74,324
Boston,16,1,284,12,79,375
Boston,16,2,327,12,104,443
Boston,16,3,403,8,131,542
Boston,16,4,395,8,113,516
Boston,16,5,499,12,111,622
Boston,16,6,597,7,168,772
Boston,16,7,498,21,172,691
Boston,16,8,796,24,272,"1,092"
Boston,16,9,604,22,269,895
Boston,16,10,494,21,166,681
Boston,16,12,571,20,246,837
TOTALS,,,"8,761",255,"2,800","11,816"
