City/Town,Ward,Pct,"David Paul Linsky","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Natick,-,1,731,7,171,909
Natick,-,2,"1,236",7,361,"1,604"
Natick,-,3,"1,201",15,375,"1,591"
Natick,-,4,"1,152",10,348,"1,510"
Natick,-,5,"1,242",2,421,"1,665"
Natick,-,6,"1,174",17,376,"1,567"
Natick,-,7,"1,520",22,372,"1,914"
Natick,-,8,"1,367",5,383,"1,755"
Natick,-,9,"1,398",4,367,"1,769"
Natick,-,10,"1,583",19,507,"2,109"
Wayland,-,2,"1,230",18,372,"1,620"
Wayland,-,3,"1,185",13,347,"1,545"
TOTALS,,,"15,019",139,"4,400","19,558"
