City/Town,Ward,Pct,"Daniel H. Cahill","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,1,2A,168,5,89,262
Lynn,1,3,914,33,309,"1,256"
Lynn,1,4,686,30,194,910
Lynn,2,1,968,24,331,"1,323"
Lynn,2,2,502,19,135,656
Lynn,2,3,306,8,81,395
Lynn,2,4,301,4,71,376
Lynn,3,1,586,28,208,822
Lynn,3,2,321,19,137,477
Lynn,3,3,624,16,144,784
Lynn,4,1,214,16,68,298
Lynn,4,2,243,6,43,292
Lynn,5,3,209,9,60,278
TOTALS,,,"6,042",217,"1,870","8,129"
