City/Town,Ward,Pct,"Frank A. Moran","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,2,"1,127",32,424,"1,583"
Andover,-,3,"1,346",19,438,"1,803"
Andover,-,4,693,12,290,995
Lawrence,C,1,271,6,48,325
Lawrence,C,2,383,14,73,470
Lawrence,C,3,232,6,57,295
Lawrence,C,4,254,14,28,296
Lawrence,D,1,359,11,96,466
Lawrence,D,2,250,8,57,315
Lawrence,D,3,196,2,27,225
Lawrence,D,4,288,3,39,330
Lawrence,E,1,632,18,215,865
TOTALS,,,"6,031",145,"1,792","7,968"
