City/Town,Ward,Pct,"Thomas P. Walsh","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Peabody,1,1,947,32,280,"1,259"
Peabody,1,2,"1,005",33,343,"1,381"
Peabody,1,3,"1,048",34,320,"1,402"
Peabody,2,1,589,17,120,726
Peabody,2,2,550,18,123,691
Peabody,2,3,746,14,182,942
Peabody,3,1,435,11,91,537
Peabody,3,2,691,18,171,880
Peabody,3,3,767,22,248,"1,037"
Peabody,4,1,865,33,226,"1,124"
Peabody,4,2,541,14,170,725
Peabody,4,3,352,3,128,483
Peabody,4,3A,990,5,309,"1,304"
Peabody,5,1,"1,073",28,397,"1,498"
Peabody,5,2,686,20,320,"1,026"
Peabody,5,3,736,33,301,"1,070"
TOTALS,,,"12,021",335,"3,729","16,085"
