City/Town,Ward,Pct,"Michelle M. Dubois","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brockton,4,A,245,2,52,299
Brockton,4,B,529,10,129,668
Brockton,4,C,654,3,241,898
Brockton,4,D,647,16,225,888
Brockton,5,A,355,6,81,442
Brockton,5,B,687,13,195,895
Brockton,5,C,488,3,109,600
Brockton,5,D,761,4,251,"1,016"
Brockton,6,A,510,13,131,654
Brockton,6,B,715,20,257,992
Brockton,6,C,626,12,174,812
Brockton,6,D,814,1,375,"1,190"
TOTALS,,,"7,031",103,"2,220","9,354"
