City/Town,Ward,Pct,"Bruce J. Ayers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Quincy,3,3,692,10,177,879
Quincy,3,4,"1,032",15,263,"1,310"
Quincy,3,5,611,9,123,743
Quincy,4,1,707,9,157,873
Quincy,4,3,"1,014",22,269,"1,305"
Quincy,6,1,786,13,155,954
Quincy,6,2,628,16,119,763
Quincy,6,3,916,15,255,"1,186"
Quincy,6,4,694,9,150,853
Quincy,6,5,"1,460",17,284,"1,761"
Randolph,-,7,609,9,159,777
Randolph,-,8,596,19,155,770
Randolph,-,11,651,19,178,848
Randolph,-,12,631,17,121,769
TOTALS,,,"11,027",199,"2,565","13,791"
