City/Town,Ward,Pct,"Paul J. Donato, Sr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,1,1,393,3,62,458
Malden,1,2,451,22,126,599
Malden,1,3,492,22,121,635
Malden,3,1A,424,14,126,564
Malden,3,3,655,27,210,892
Malden,7,1,386,12,81,479
Malden,7,3A,175,12,33,220
Medford,1,1,992,0,276,"1,268"
Medford,1,2,"1,113",0,314,"1,427"
Medford,2,1,950,0,317,"1,267"
Medford,2,2,"1,371",0,475,"1,846"
Medford,3,1,"1,232",0,512,"1,744"
Medford,6,2A,53,0,28,81
Medford,7,2,636,0,200,836
Medford,8,1,"1,151",0,364,"1,515"
TOTALS,,,"10,474",112,"3,245","13,831"
