City/Town,Ward,Pct,"Sarah K. Peake","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chatham,-,1,"1,454",39,536,"2,029"
Chatham,-,2,"1,391",41,613,"2,045"
Eastham,,,"2,616",0,770,"3,386"
Harwich,-,1,"1,528",17,622,"2,167"
Harwich,-,2,"1,318",25,531,"1,874"
Harwich,-,3,"1,299",19,507,"1,825"
Harwich,-,4,"1,170",18,423,"1,611"
Orleans,-,1,"1,538",17,442,"1,997"
Orleans,-,2,"1,436",21,582,"2,039"
Provincetown,,,"2,086",10,141,"2,237"
Truro,,,"1,263",8,219,"1,490"
Wellfleet,,,"1,687",25,320,"2,032"
TOTALS,,,"18,786",240,"5,706","24,732"
