City/Town,Ward,Pct,"Estela A. Reyes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lawrence,A,1,376,18,81,475
Lawrence,A,2,220,2,44,266
Lawrence,B,1,372,8,75,455
Lawrence,B,2,250,6,51,307
Lawrence,B,3,233,7,69,309
Lawrence,B,4,307,9,74,390
Methuen,-,1,403,20,134,557
Methuen,-,2,450,24,177,651
Methuen,-,4,581,35,281,897
Methuen,-,6A,76,5,33,114
Methuen,-,13,457,37,272,766
Methuen,-,14,653,39,278,970
Methuen,-,15,506,28,186,720
TOTALS,,,"4,884",238,"1,755","6,877"
