City/Town,Ward,Pct,"Sean Garballey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,628,4,127,759
Arlington,-,3,915,3,132,"1,050"
Arlington,-,5,959,9,158,"1,126"
Arlington,-,7,838,2,164,"1,004"
Arlington,-,9,754,1,138,893
Arlington,-,11,979,16,236,"1,231"
Arlington,-,13,931,8,209,"1,148"
Arlington,-,14,825,5,179,"1,009"
Arlington,-,15,860,3,147,"1,010"
Arlington,-,16,935,1,195,"1,131"
Arlington,-,17,725,8,127,860
Arlington,-,18,874,3,242,"1,119"
Arlington,-,19,939,6,186,"1,131"
Arlington,-,20,829,9,169,"1,007"
Arlington,-,21,944,5,162,"1,111"
Medford,3,2,"1,368",0,587,"1,955"
Medford,6,1,"1,360",0,360,"1,720"
Medford,6,2,"1,159",0,420,"1,579"
TOTALS,,,"16,822",83,"3,938","20,843"
