City/Town,Ward,Pct,"Dylan A. Fernandes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,,,221,0,42,263
Chilmark,,,644,1,113,758
Edgartown,,,"1,645",19,533,"2,197"
Falmouth,-,1,"1,698",25,423,"2,146"
Falmouth,-,2,"1,345",29,510,"1,884"
Falmouth,-,6,"1,435",38,579,"2,052"
Gosnold,,,38,0,17,55
Nantucket,,,"3,826",81,"1,048","4,955"
"Oak Bluffs",,,"1,829",18,473,"2,320"
Tisbury,,,"1,677",3,361,"2,041"
"W. Tisbury",,,"1,500",13,260,"1,773"
TOTALS,,,"15,858",227,"4,359","20,444"
