City/Town,Ward,Pct,"Russell E. Holmes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,14,2,587,4,88,679
Boston,14,5,265,1,28,294
Boston,14,6,292,5,34,331
Boston,14,7,277,5,37,319
Boston,14,8,414,4,59,477
Boston,14,9,256,4,47,307
Boston,14,10,321,3,55,379
Boston,14,11,311,7,37,355
Boston,14,12,188,1,32,221
Boston,14,13,309,6,50,365
Boston,14,14,308,2,65,375
Boston,17,1,321,5,54,380
Boston,17,2,244,2,44,290
Boston,17,3,574,11,115,700
Boston,17,5,225,8,28,261
Boston,17,6,447,10,85,542
Boston,17,7,245,3,33,281
Boston,18,7,560,13,116,689
Boston,18,8,922,10,188,"1,120"
Boston,19,12,609,5,147,761
TOTALS,,,"7,675",109,"1,342","9,126"
