City/Town,Ward,Pct,"Denise C. Garlick","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dover,,,"2,108",62,876,"3,046"
Medfield,-,1,"1,272",25,360,"1,657"
Medfield,-,2,"1,133",36,354,"1,523"
Needham,-,A,"1,043",18,234,"1,295"
Needham,-,B,"1,237",28,294,"1,559"
Needham,-,C,"1,263",23,267,"1,553"
Needham,-,D,"1,166",32,274,"1,472"
Needham,-,E,"1,310",29,302,"1,641"
Needham,-,F,"1,197",25,279,"1,501"
Needham,-,G,"1,355",25,279,"1,659"
Needham,-,H,"1,293",17,306,"1,616"
Needham,-,I,"1,441",16,253,"1,710"
Needham,-,J,"1,238",20,234,"1,492"
TOTALS,,,"17,056",356,"4,312","21,724"
