City/Town,Ward,Pct,"Steven C. Owens","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,9,1,"1,661",5,328,"1,994"
Cambridge,9,2,"1,226",9,252,"1,487"
Cambridge,9,3,"1,230",7,242,"1,479"
Cambridge,10,1,870,2,179,"1,051"
Cambridge,10,3,"1,008",3,214,"1,225"
Cambridge,11,1A,423,0,98,521
Cambridge,11,2,671,2,148,821
Cambridge,11,3A,123,1,20,144
Watertown,-,1,757,1,200,958
Watertown,-,2,917,1,198,"1,116"
Watertown,-,3,"1,064",2,209,"1,275"
Watertown,-,4,"1,217",0,261,"1,478"
Watertown,-,5,759,1,161,921
Watertown,-,6,865,6,191,"1,062"
Watertown,-,7,"1,012",11,283,"1,306"
Watertown,-,8,"1,014",0,242,"1,256"
TOTALS,,,"14,817",51,"3,226","18,094"
