City/Town,Ward,Pct,"Brian William Murray","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Hopedale,,,"1,768",16,732,"2,516"
Mendon,-,1,833,16,532,"1,381"
Mendon,-,2,868,15,559,"1,442"
Milford,-,1,494,5,195,694
Milford,-,2,854,3,396,"1,253"
Milford,-,3,733,5,330,"1,068"
Milford,-,4,537,2,234,773
Milford,-,5,"1,137",7,474,"1,618"
Milford,-,6,924,8,342,"1,274"
Milford,-,7,"1,145",9,514,"1,668"
Milford,-,8,"1,030",6,385,"1,421"
TOTALS,,,"10,323",92,"4,693","15,108"
