City/Town,Ward,Pct,"Mindy Domb","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,646,6,69,721
Amherst,-,1B,370,6,28,404
Amherst,-,2A,437,0,44,481
Amherst,-,2B,"1,209",9,139,"1,357"
Amherst,-,3A,390,3,61,454
Amherst,-,3B,"1,093",13,123,"1,229"
Amherst,-,4A,578,5,55,638
Amherst,-,4B,353,5,30,388
Amherst,-,5A,416,5,52,473
Amherst,-,5B,"1,831",14,170,"2,015"
Granby,-,1,994,2,486,"1,482"
Granby,-,2A,16,0,12,28
TOTALS,,,"8,333",68,"1,269","9,670"
