City/Town,Ward,Pct,"Daniel R. Carey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Easthampton,-,1,"1,380",6,221,"1,607"
Easthampton,-,2,"1,274",4,173,"1,451"
Easthampton,-,3,"1,429",5,212,"1,646"
Easthampton,-,4,"1,422",14,171,"1,607"
Easthampton,-,5,"1,367",8,337,"1,712"
Granby,,,860,0,537,"1,397"
Hadley,,,"2,035",33,500,"2,568"
"S. Hadley",-,A,"1,078",23,261,"1,362"
"S. Hadley",-,B,"1,321",27,329,"1,677"
"S. Hadley",-,C,"1,267",42,383,"1,692"
"S. Hadley",-,D,771,10,197,978
"S. Hadley",-,E,"1,288",37,382,"1,707"
TOTALS,,,"15,492",209,"3,703","19,404"
