City/Town,Ward,Pct,"Peter L. Capano","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,4,3,385,7,82,474
Lynn,5,1,659,20,181,860
Lynn,5,2,279,12,61,352
Lynn,5,4,549,16,140,705
Lynn,6,1,369,11,85,465
Lynn,6,2,217,12,37,266
Lynn,6,3,286,10,59,355
Lynn,6,4,494,13,140,647
Lynn,7,1,774,16,263,"1,053"
Lynn,7,2,735,27,220,982
Lynn,7,3,411,10,128,549
Lynn,7,4,512,15,125,652
Nahant,,,"1,465",32,478,"1,975"
TOTALS,,,"7,135",201,"1,999","9,335"
