City/Town,Ward,Pct,"Andres X. Vargas","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Haverhill,1,1,253,8,71,332
Haverhill,1,2,309,16,66,391
Haverhill,1,2A,149,8,38,195
Haverhill,1,3,284,10,85,379
Haverhill,1,3A,209,6,68,283
Haverhill,2,3,365,16,103,484
Haverhill,3,1,481,14,97,592
Haverhill,3,2,431,16,117,564
Haverhill,3,3,457,12,110,579
Haverhill,4,1,894,45,364,"1,303"
Haverhill,4,2,"1,047",52,519,"1,618"
Haverhill,4,3,825,41,380,"1,246"
Haverhill,5,3A,57,2,39,98
Haverhill,6,1,712,34,293,"1,039"
Haverhill,6,2,543,28,230,801
Haverhill,6,2A,216,9,72,297
Haverhill,6,3,920,31,314,"1,265"
Haverhill,7,3,"1,024",37,403,"1,464"
TOTALS,,,"9,176",385,"3,369","12,930"
