City/Town,Ward,Pct,"Bradley H. Jones, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican
Lynnfield,-,1,"1,151",7,337,"1,495"
Lynnfield,-,2,"1,102",8,371,"1,481"
Lynnfield,-,3,"1,087",3,357,"1,447"
Lynnfield,-,4,"1,269",6,318,"1,593"
Middleton,-,1,"1,341",28,377,"1,746"
Middleton,-,3,"1,140",32,312,"1,484"
"N. Reading",-,1,"1,465",14,362,"1,841"
"N. Reading",-,2,"1,366",32,461,"1,859"
"N. Reading",-,3,"1,411",21,353,"1,785"
"N. Reading",-,4,"1,454",11,388,"1,853"
Reading,-,1,"1,250",0,505,"1,755"
Reading,-,7,"1,105",0,539,"1,644"
Reading,-,8,"1,053",0,454,"1,507"
TOTALS,,,"16,194",162,"5,134","21,490"
