City/Town,Ward,Pct,"Christopher M. Markey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dartmouth,-,1,972,40,546,"1,558"
Dartmouth,-,2,758,14,312,"1,084"
Dartmouth,-,3,125,10,49,184
Dartmouth,-,4,965,19,408,"1,392"
Dartmouth,-,5,"1,079",25,436,"1,540"
Dartmouth,-,6,892,28,332,"1,252"
Dartmouth,-,7,"1,141",22,456,"1,619"
Dartmouth,-,8,"1,539",30,506,"2,075"
Dartmouth,-,9,"1,490",31,581,"2,102"
"New Bedford",1,D,707,27,324,"1,058"
"New Bedford",1,E,641,15,212,868
"New Bedford",1,F,668,33,248,949
TOTALS,,,"10,977",294,"4,410","15,681"
