City/Town,Ward,Pct,"Rita A. Mendes","Fred Fontaine","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Brockton,1,A,471,35,0,74,580
Brockton,2,A,293,46,2,38,379
Brockton,2,B,392,44,3,44,483
Brockton,2,C,266,11,1,45,323
Brockton,2,D,520,35,2,102,659
Brockton,3,A,543,19,3,102,667
Brockton,3,B,414,26,7,58,505
Brockton,7,A,405,30,10,58,503
Brockton,7,B,573,55,13,108,749
Brockton,7,C,546,79,6,96,727
Brockton,7,D,643,34,6,138,821
TOTALS,,,"5,066",414,53,863,"6,396"
