City/Town,Ward,Pct,"Danillo A. Sena","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,3,"1,438",10,335,"1,783"
Acton,-,4,"1,286",6,289,"1,581"
Acton,-,5,"1,274",7,290,"1,571"
Acton,-,6A,390,3,74,467
Ayer,-,1,758,8,292,"1,058"
Ayer,-,2,890,6,385,"1,281"
Ayer,-,3,681,1,236,918
Boxborough,,,"1,853",35,582,"2,470"
Groton,-,1,"1,373",40,441,"1,854"
Groton,-,3A,82,4,40,126
Harvard,,,"2,440",11,748,"3,199"
Shirley,,,"1,865",66,765,"2,696"
TOTALS,,,"14,330",197,"4,477","19,004"
