City/Town,Ward,Pct,"David Henry Argosky Leboeuf","Paul J. Fullen","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Leicester,-,2,496,563,0,34,"1,093"
Leicester,-,4,475,567,0,53,"1,095"
Worcester,7,1,547,295,4,48,894
Worcester,7,2,456,292,3,33,784
Worcester,7,3,323,167,1,24,515
Worcester,7,4,494,306,0,32,832
Worcester,7,5,337,301,0,19,657
Worcester,7,5A,126,75,1,7,209
Worcester,7,6,497,336,2,45,880
Worcester,8,2,160,89,0,11,260
Worcester,8,3,121,25,0,4,150
Worcester,8,4,324,119,5,29,477
Worcester,8,6,191,83,0,15,289
Worcester,10,6,198,52,1,13,264
TOTALS,,,"4,745","3,270",17,367,"8,399"
