City/Town,Ward,Pct,"Jessica Ann Giannino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Revere,1,3,401,13,134,548
Revere,2,3,116,3,28,147
Revere,3,1,355,17,155,527
Revere,3,2,367,15,152,534
Revere,3,3,419,11,139,569
Revere,4,1,488,19,201,708
Revere,4,2,386,15,133,534
Revere,4,3,491,18,193,702
Revere,6,1,558,33,276,867
Revere,6,2,541,19,258,818
Revere,6,3,415,12,154,581
Saugus,-,3,629,0,369,998
Saugus,-,10,587,0,299,886
TOTALS,,,"5,753",175,"2,491","8,419"
