City/Town,Ward,Pct,"John J. Lawn, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,1,1,730,13,224,967
Newton,1,2A,48,1,7,56
Newton,1,4,829,9,273,"1,111"
Newton,3,1A,0,0,0,0
Newton,3,4,897,26,337,"1,260"
Waltham,1,2A,8,2,5,15
Waltham,3,2A,21,0,9,30
Waltham,4,1A,21,1,4,26
Waltham,4,2,195,5,64,264
Waltham,5,1,818,20,287,"1,125"
Waltham,5,2A,98,0,26,124
Waltham,6,2,488,6,154,648
Waltham,8,2,856,13,231,"1,100"
Waltham,9,1,661,14,127,802
Waltham,9,2,602,18,151,771
Watertown,-,9,773,3,221,997
Watertown,-,10,"1,032",2,232,"1,266"
Watertown,-,11,998,1,253,"1,252"
Watertown,-,12,904,4,257,"1,165"
TOTALS,,,"9,979",138,"2,862","12,979"
