City/Town,Ward,Pct,"Ruth B. Balser","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,5,521,5,124,650
Brookline,-,13A,174,1,38,213
Brookline,-,14,905,13,305,"1,223"
Brookline,-,15,"1,128",3,400,"1,531"
Newton,5,1,879,22,217,"1,118"
Newton,5,2,"1,003",13,213,"1,229"
Newton,5,3,"1,135",9,291,"1,435"
Newton,5,4,"1,121",8,287,"1,416"
Newton,6,1,902,11,242,"1,155"
Newton,6,2,926,10,239,"1,175"
Newton,6,3,"1,110",13,236,"1,359"
Newton,6,4,"1,174",7,296,"1,477"
Newton,7,1,747,9,250,"1,006"
Newton,8,1,883,23,315,"1,221"
Newton,8,2,824,16,274,"1,114"
Newton,8,3,921,16,282,"1,219"
Newton,8,4,811,18,272,"1,101"
TOTALS,,,"15,164",197,"4,281","19,642"
