City/Town,Ward,Pct,"James J. O'Day","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"W. Boylston",-,1,"1,140",83,399,"1,622"
"W. Boylston",-,2,"1,354",76,496,"1,926"
Worcester,1,5,720,35,206,961
Worcester,2,1,991,35,280,"1,306"
Worcester,2,2,791,43,229,"1,063"
Worcester,2,3,828,27,284,"1,139"
Worcester,2,4,618,16,96,730
Worcester,2,5,381,12,93,486
Worcester,2,6,660,20,198,878
Worcester,3,3,627,45,195,867
Worcester,3,5,589,25,121,735
Worcester,3,6,594,13,161,768
TOTALS,,,"9,293",430,"2,758","12,481"
