City/Town,Ward,Pct,"Maura A. Hennigan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,825,21,253,"1,099"
Boston,1,2,671,14,175,860
Boston,1,3,"1,701",57,454,"2,212"
Boston,1,4,679,14,185,878
Boston,1,5,726,22,212,960
Boston,1,6,576,21,200,797
Boston,1,7,657,30,188,875
Boston,1,8,815,25,248,"1,088"
Boston,1,9,598,32,174,804
Boston,1,10,345,16,117,478
Boston,1,11,779,29,273,"1,081"
Boston,1,12,684,30,296,"1,010"
Boston,1,13,924,42,375,"1,341"
Boston,1,14,428,27,227,682
Boston,1,15,0,0,0,0
Boston,2,1,"1,101",33,410,"1,544"
Boston,2,2,971,19,394,"1,384"
Boston,2,3,"1,110",25,422,"1,557"
Boston,2,4,"1,059",17,310,"1,386"
Boston,2,5,"1,110",22,343,"1,475"
Boston,2,6,936,18,320,"1,274"
Boston,2,7,687,11,183,881
Boston,2,8,569,19,239,827
Boston,3,1,964,31,355,"1,350"
Boston,3,2,"1,004",27,370,"1,401"
Boston,3,3,687,15,167,869
Boston,3,4,731,19,227,977
Boston,3,5,994,19,277,"1,290"
Boston,3,6,700,4,200,904
Boston,3,7,885,6,264,"1,155"
Boston,3,8,815,16,295,"1,126"
Boston,3,9,644,5,201,850
Boston,3,10,"1,195",18,256,"1,469"
Boston,3,11,831,11,274,"1,116"
Boston,3,12,908,17,355,"1,280"
Boston,3,13,646,7,267,920
Boston,3,13A,0,0,0,0
Boston,3,14,632,8,398,"1,038"
Boston,3,15,907,16,197,"1,120"
Boston,3,16,"1,141",17,296,"1,454"
Boston,3,17,708,11,199,918
Boston,4,1,862,9,249,"1,120"
Boston,4,2,726,23,241,990
Boston,4,3,994,19,317,"1,330"
Boston,4,4,"1,098",13,302,"1,413"
Boston,4,5,841,18,297,"1,156"
Boston,4,6,652,7,278,937
Boston,4,7,596,15,177,788
Boston,4,8,626,15,184,825
Boston,4,9,205,9,50,264
Boston,4,10,217,8,53,278
Boston,4,11,48,0,10,58
Boston,4,12,198,5,62,265
Boston,5,1,440,9,276,725
Boston,5,2,716,8,178,902
Boston,5,3,"1,159",12,353,"1,524"
Boston,5,4,718,6,121,845
Boston,5,5,754,19,264,"1,037"
Boston,5,6,873,16,329,"1,218"
Boston,5,7,"1,162",13,377,"1,552"
Boston,5,8,"1,018",12,305,"1,335"
Boston,5,9,972,27,303,"1,302"
Boston,5,10,532,13,145,690
Boston,5,11,479,2,120,601
Boston,5,12,573,9,112,694
Boston,5,13,800,14,300,"1,114"
Boston,5,14,733,12,227,972
Boston,5,15,626,15,180,821
Boston,6,1,"1,194",22,281,"1,497"
Boston,6,2,739,27,219,985
Boston,6,3,890,12,294,"1,196"
Boston,6,4,735,13,202,950
Boston,6,5,950,9,273,"1,232"
Boston,6,6,997,22,287,"1,306"
Boston,6,7,882,34,304,"1,220"
Boston,6,8,"1,051",17,358,"1,426"
Boston,6,9,919,26,414,"1,359"
Boston,6,10,794,22,245,"1,061"
Boston,6,11,894,18,268,"1,180"
Boston,6,12,"1,546",37,516,"2,099"
Boston,6,12A,0,0,0,0
Boston,7,1,796,15,272,"1,083"
Boston,7,2,908,18,334,"1,260"
Boston,7,3,"1,026",28,345,"1,399"
Boston,7,4,749,14,263,"1,026"
Boston,7,5,929,17,239,"1,185"
Boston,7,6,709,23,229,961
Boston,7,7,446,16,127,589
Boston,7,8,760,22,188,970
Boston,7,9,571,12,170,753
Boston,7,10,584,10,126,720
Boston,8,1,"1,038",17,336,"1,391"
Boston,8,2,744,12,169,925
Boston,8,3,670,17,178,865
Boston,8,4,509,16,113,638
Boston,8,5,753,16,193,962
Boston,8,6,154,8,44,206
Boston,8,6A,0,0,0,0
Boston,9,1,897,13,316,"1,226"
Boston,9,2,907,11,204,"1,122"
Boston,9,3,692,20,214,926
Boston,9,4,642,13,215,870
Boston,9,5,678,12,195,885
Boston,9,6,864,15,198,"1,077"
Boston,9,7,272,10,72,354
Boston,10,1,403,11,127,541
Boston,10,2,387,8,127,522
Boston,10,3,365,6,64,435
Boston,10,4,651,20,297,968
Boston,10,5,446,16,127,589
Boston,10,6,529,14,172,715
Boston,10,7,662,16,220,898
Boston,10,8,955,16,229,"1,200"
Boston,10,9,"1,128",6,275,"1,409"
Boston,10,9A,0,0,0,0
Boston,11,1,469,7,114,590
Boston,11,2,749,11,180,940
Boston,11,3,528,9,159,696
Boston,11,4,962,20,229,"1,211"
Boston,11,5,781,14,223,"1,018"
Boston,11,6,738,8,168,914
Boston,11,7,907,9,250,"1,166"
Boston,11,8,"1,359",12,300,"1,671"
Boston,11,9,631,7,201,839
Boston,11,10,752,9,193,954
Boston,12,1,709,17,191,917
Boston,12,2,889,25,212,"1,126"
Boston,12,3,410,5,110,525
Boston,12,4,524,9,129,662
Boston,12,5,285,6,89,380
Boston,12,6,424,6,99,529
Boston,12,7,942,25,284,"1,251"
Boston,12,8,335,6,93,434
Boston,12,9,447,17,105,569
Boston,13,1,606,12,147,765
Boston,13,2,246,11,57,314
Boston,13,3,649,14,170,833
Boston,13,4,462,13,126,601
Boston,13,5,424,11,125,560
Boston,13,6,623,9,154,786
Boston,13,7,671,21,243,935
Boston,13,8,586,18,186,790
Boston,13,9,679,6,205,890
Boston,13,10,962,16,348,"1,326"
Boston,14,1,932,25,232,"1,189"
Boston,14,2,"1,023",21,241,"1,285"
Boston,14,3,253,5,71,329
Boston,14,4,582,13,138,733
Boston,14,5,430,14,100,544
Boston,14,6,466,9,119,594
Boston,14,7,454,11,97,562
Boston,14,8,535,12,145,692
Boston,14,9,484,16,132,632
Boston,14,10,535,12,161,708
Boston,14,11,518,12,138,668
Boston,14,12,312,3,73,388
Boston,14,13,500,11,86,597
Boston,14,14,530,15,116,661
Boston,15,1,640,19,182,841
Boston,15,2,393,15,115,523
Boston,15,3,274,5,99,378
Boston,15,4,800,38,166,"1,004"
Boston,15,5,480,15,142,637
Boston,15,6,368,17,185,570
Boston,15,7,422,10,118,550
Boston,15,8,345,15,168,528
Boston,15,9,388,9,177,574
