City/Town,Ward,Pct,"Michael W. Morrissey","All Others",Blanks,"Total Votes Cast"
Quincy,2,5,829,12,192,"1,033"
Quincy,3,1,993,19,235,"1,247"
Quincy,3,2,829,14,216,"1,059"
Quincy,3,3,680,15,184,879
Quincy,3,4,"1,026",15,269,"1,310"
Quincy,3,5,601,11,131,743
Quincy,4,1,712,9,152,873
Quincy,4,2,934,21,241,"1,196"
Quincy,4,3,"1,004",19,282,"1,305"
Quincy,4,4,600,17,116,733
Quincy,4,5,643,20,127,790
Quincy,5,1,372,5,83,460
Quincy,5,1A,255,3,62,320
Quincy,5,2,734,15,176,925
Quincy,5,3,938,17,200,"1,155"
Quincy,5,4,702,15,165,882
Quincy,5,5,974,19,240,"1,233"
Quincy,6,1,776,13,165,954
Quincy,6,2,616,16,131,763
Quincy,6,3,904,13,269,"1,186"
Quincy,6,4,688,6,159,853
Quincy,6,5,"1,447",15,299,"1,761"
Randolph,-,1,795,13,225,"1,033"
Randolph,-,2,631,9,158,798
Randolph,-,3,536,10,125,671
Randolph,-,4,699,17,169,885
Randolph,-,5,710,18,182,910
Randolph,-,6,399,7,64,470
Randolph,-,7,606,11,160,777
Randolph,-,8,599,14,157,770
Randolph,-,9,682,12,151,845
Randolph,-,10,684,8,178,870
Randolph,-,11,640,13,195,848
Randolph,-,12,611,17,141,769
Sharon,-,1,"1,326",14,388,"1,728"
Sharon,-,2,"1,155",13,361,"1,529"
Sharon,-,3,"1,274",21,396,"1,691"
Sharon,-,4,"1,244",22,335,"1,601"
Sharon,-,5,"1,148",29,414,"1,591"
Stoughton,-,1,891,8,356,"1,255"
Stoughton,-,2,841,4,316,"1,161"
Stoughton,-,2A,125,0,37,162
Stoughton,-,3,995,1,380,"1,376"
Stoughton,-,4,"1,100",4,494,"1,598"
Stoughton,-,4A,70,1,32,103
Stoughton,-,5,816,13,322,"1,151"
Stoughton,-,5A,68,1,27,96
Stoughton,-,6,"1,029",0,395,"1,424"
Stoughton,-,7,964,2,271,"1,237"
Stoughton,-,7A,46,0,14,60
Stoughton,-,8,624,5,208,837
Stoughton,-,8A,43,0,16,59
Walpole,-,1,"1,019",14,376,"1,409"
Walpole,-,2,"1,037",9,576,"1,622"
Walpole,-,2A,21,0,7,28
Walpole,-,3,"1,228",13,586,"1,827"
Walpole,-,4,861,7,363,"1,231"
Walpole,-,5,819,7,400,"1,226"
Walpole,-,5A,36,1,37,74
Walpole,-,6,"1,073",14,472,"1,559"
Walpole,-,7,"1,017",7,548,"1,572"
Walpole,-,8,"1,002",16,560,"1,578"
Wellesley,-,A,"1,204",15,432,"1,651"
Wellesley,-,B,"1,331",7,443,"1,781"
Wellesley,-,C,"1,175",10,640,"1,825"
Wellesley,-,D,"1,231",5,447,"1,683"
Wellesley,-,E,"1,156",7,409,"1,572"
Wellesley,-,F,773,4,284,"1,061"
Wellesley,-,G,616,2,221,839
Wellesley,-,H,"1,212",7,515,"1,734"
Westwood,-,1,"1,142",15,479,"1,636"
Westwood,-,2,"1,072",17,530,"1,619"
Westwood,-,3,"1,027",10,483,"1,520"
Westwood,-,4,858,6,524,"1,388"
Westwood,-,5,"1,121",8,559,"1,688"
Weymouth,-,1,959,25,288,"1,272"
Weymouth,-,2,"1,145",30,436,"1,611"
Weymouth,-,3,"1,091",29,406,"1,526"
Weymouth,-,4,953,27,330,"1,310"
Weymouth,-,5,917,16,260,"1,193"
Weymouth,-,6,"1,160",14,369,"1,543"
Weymouth,-,7,762,26,273,"1,061"
Weymouth,-,8,916,36,342,"1,294"
Weymouth,-,9,700,23,231,954
Weymouth,-,9A,253,6,79,338
Weymouth,-,10,776,24,266,"1,066"
Weymouth,-,11,734,27,215,976
Weymouth,-,12,"1,068",24,396,"1,488"
Weymouth,-,13,652,15,173,840
Weymouth,-,14,"1,128",27,314,"1,469"
Weymouth,-,15,"1,105",29,431,"1,565"
Weymouth,-,16,"1,157",31,462,"1,650"
Weymouth,-,17,785,25,252,"1,062"
Weymouth,-,18,844,14,241,"1,099"
Wrentham,-,1,964,32,466,"1,462"
Wrentham,-,2,"1,022",53,504,"1,579"
Wrentham,-,3,974,29,469,"1,472"
Wrentham,-,4,992,38,468,"1,498"
TOTALS,,,"208,563","3,750","75,606","287,919"
