City/Town,Ward,Pct,"Timothy J. Cruz","Rahsaan Hall","All Others",Blanks,"Total Votes Cast"
Duxbury,-,2,885,533,0,44,"1,462"
Duxbury,-,3,879,504,0,45,"1,428"
Duxbury,-,4,787,457,2,34,"1,280"
Duxbury,-,5,870,451,1,24,"1,346"
Duxbury,-,6,754,466,0,42,"1,262"
"E. Bridgewater",-,1,"1,029",445,0,50,"1,524"
"E. Bridgewater",-,2,"1,034",448,0,51,"1,533"
"E. Bridgewater",-,3,"1,168",453,0,71,"1,692"
"E. Bridgewater",-,4,"1,014",435,1,38,"1,488"
Halifax,-,1,"1,275",492,0,41,"1,808"
Halifax,-,2,"1,165",483,1,32,"1,681"
Halifax,-,2A,56,17,0,2,75
Hanover,-,1,"1,286",608,0,61,"1,955"
Hanover,-,2,"1,169",583,0,54,"1,806"
Hanover,-,3,"1,084",553,3,69,"1,709"
Hanover,-,4,"1,244",630,0,61,"1,935"
Hanson,-,1,"1,182",477,0,57,"1,716"
Hanson,-,2,"1,298",507,0,57,"1,862"
Hanson,-,3,"1,010",425,1,33,"1,469"
Hingham,-,1,930,753,1,68,"1,752"
Hingham,-,2,936,738,1,98,"1,773"
Hingham,-,3,890,733,0,65,"1,688"
Hingham,-,4,970,767,0,84,"1,821"
Hingham,-,5,"1,100",603,0,80,"1,783"
Hingham,-,6,875,695,0,76,"1,646"
Hingham,-,7,603,401,1,42,"1,047"
Hingham,-,7A,378,605,0,60,"1,043"
Hull,-,1,885,859,0,78,"1,822"
Hull,-,2,869,652,0,69,"1,590"
Hull,-,3,992,874,0,84,"1,950"
Kingston,-,1,931,506,1,44,"1,482"
Kingston,-,2,"1,176",487,0,55,"1,718"
Kingston,-,3,"1,182",423,1,32,"1,638"
Kingston,-,4,988,457,0,31,"1,476"
Lakeville,-,1,"1,274",485,0,60,"1,819"
Lakeville,-,2,"1,320",557,3,67,"1,947"
Lakeville,-,3,"1,187",533,2,62,"1,784"
Marion,,,"1,411","1,291",1,110,"2,813"
Marshfield,-,1,"1,373",524,0,43,"1,940"
Marshfield,-,2,"1,131",486,0,27,"1,644"
Marshfield,-,2A,119,95,0,5,219
Marshfield,-,3,"1,317",542,0,43,"1,902"
Marshfield,-,4,"1,101",468,0,34,"1,603"
Marshfield,-,5,"1,102",507,0,37,"1,646"
Marshfield,-,6,"1,543",659,0,46,"2,248"
Marshfield,-,7,"1,346",581,0,36,"1,963"
Mattapoisett,-,1,"1,048",770,2,75,"1,895"
Mattapoisett,-,2,"1,030",792,2,66,"1,890"
Middleborough,-,1,"1,414",565,0,86,"2,065"
Middleborough,-,2,719,373,0,39,"1,131"
Middleborough,-,3,988,416,0,47,"1,451"
Middleborough,-,4,590,327,0,30,947
Middleborough,-,5,937,307,0,36,"1,280"
Middleborough,-,5A,187,64,0,11,262
Middleborough,-,6,949,370,0,60,"1,379"
Middleborough,-,7,639,287,0,40,966
Middleborough,-,7A,268,81,0,15,364
Norwell,-,1,"1,030",646,0,75,"1,751"
Norwell,-,2,"1,234",696,0,70,"2,000"
Norwell,-,3,"1,081",733,4,57,"1,875"
Pembroke,-,1,"1,211",602,49,0,"1,862"
Pembroke,-,2,"1,092",455,0,50,"1,597"
Pembroke,-,3,"1,151",545,1,42,"1,739"
Pembroke,-,3A,7,5,0,0,12
Pembroke,-,4,"1,211",464,0,34,"1,709"
Pembroke,-,5,"1,092",469,0,46,"1,607"
Plymouth,-,1,610,444,0,23,"1,077"
Plymouth,-,2,845,506,0,24,"1,375"
Plymouth,-,3,790,621,1,39,"1,451"
Plymouth,-,4,895,527,0,36,"1,458"
Plymouth,-,5,923,524,0,33,"1,480"
Plymouth,-,6,"1,095",653,1,47,"1,796"
Plymouth,-,7,911,614,0,32,"1,557"
Plymouth,-,8,"1,143",640,1,49,"1,833"
Plymouth,-,9,916,459,0,23,"1,398"
Plymouth,-,10,"1,117",484,0,30,"1,631"
Plymouth,-,11,"1,204",506,2,54,"1,766"
Plymouth,-,12,821,468,0,26,"1,315"
Plymouth,-,13,"1,109",537,0,39,"1,685"
Plymouth,-,14,"1,146",564,0,22,"1,732"
Plymouth,-,15,"1,477","1,080",1,76,"2,634"
Plymouth,-,16,"1,255",823,0,49,"2,127"
Plymouth,-,17,"1,029",741,1,35,"1,806"
Plymouth,-,18,786,334,2,23,"1,145"
Plympton,,,"1,020",437,0,36,"1,493"
Rochester,,,"1,937",851,1,100,"2,889"
Rockland,-,1,806,456,0,26,"1,288"
Rockland,-,2,822,444,0,45,"1,311"
Rockland,-,3,558,358,1,17,934
Rockland,-,4,630,371,1,24,"1,026"
Rockland,-,5,753,368,2,21,"1,144"
Rockland,-,6,828,399,1,29,"1,257"
Scituate,-,1,997,703,0,65,"1,765"
Scituate,-,2,"1,001",693,0,56,"1,750"
Scituate,-,3,947,718,0,60,"1,725"
Scituate,-,4,"1,055",666,0,70,"1,791"
Scituate,-,5,913,672,1,73,"1,659"
Scituate,-,6,"1,047",716,0,68,"1,831"
Wareham,-,1,855,556,4,51,"1,466"
Wareham,-,2,963,636,0,32,"1,631"
Wareham,-,3,911,602,1,45,"1,559"
Wareham,-,4,853,554,1,51,"1,459"
Wareham,-,5,971,556,1,46,"1,574"
Wareham,-,6,820,460,0,42,"1,322"
"W. Bridgewater",-,1,"1,158",399,1,53,"1,611"
"W. Bridgewater",-,2,"1,177",455,1,35,"1,668"
Whitman,-,1,"1,135",567,1,57,"1,760"
Whitman,-,2,991,444,0,39,"1,474"
Whitman,-,3,"1,011",487,0,51,"1,549"
Whitman,-,4,966,507,1,45,"1,519"
TOTALS,,,"132,133","77,685",114,"6,776","216,708"
