City/Town,Ward,Pct,"Kevin R. Hayden","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,565,21,153,739
Boston,1,2,379,14,101,494
Boston,1,3,"1,085",27,286,"1,398"
Boston,1,4,368,16,122,506
Boston,1,5,469,9,139,617
Boston,1,6,367,10,113,490
Boston,1,7,389,16,125,530
Boston,1,8,467,21,149,637
Boston,1,9,363,16,104,483
Boston,1,10,232,9,55,296
Boston,1,11,493,22,194,709
Boston,1,12,462,27,191,680
Boston,1,13,589,12,237,838
Boston,1,14,262,7,141,410
Boston,1,15,0,0,0,0
Boston,2,1,794,14,301,"1,109"
Boston,2,2,777,11,249,"1,037"
Boston,2,3,894,23,315,"1,232"
Boston,2,4,825,9,242,"1,076"
Boston,2,5,874,17,239,"1,130"
Boston,2,6,702,16,233,951
Boston,2,7,483,8,136,627
Boston,2,8,331,9,124,464
Boston,3,1,680,18,253,951
Boston,3,2,694,24,274,992
Boston,3,3,461,12,137,610
Boston,3,4,457,12,178,647
Boston,3,5,653,21,218,892
Boston,3,6,401,17,137,555
Boston,3,7,722,8,176,906
Boston,3,8,481,6,169,656
Boston,3,9,472,8,150,630
Boston,3,10,757,12,181,950
Boston,3,11,593,19,205,817
Boston,3,12,629,18,337,984
Boston,3,13,409,3,187,599
Boston,3,13A,0,0,0,0
Boston,3,14,506,16,261,783
Boston,3,15,544,4,89,637
Boston,3,16,932,16,177,"1,125"
Boston,3,17,496,17,150,663
Boston,4,1,675,9,177,861
Boston,4,2,510,16,187,713
Boston,4,3,778,16,215,"1,009"
Boston,4,4,859,9,211,"1,079"
Boston,4,5,640,11,195,846
Boston,4,6,496,11,179,686
Boston,4,7,415,10,116,541
Boston,4,8,373,13,128,514
Boston,4,9,100,0,26,126
Boston,4,10,111,2,21,134
Boston,4,10A,0,0,0,0
Boston,4,11,29,1,5,35
Boston,4,12,122,6,34,162
Boston,5,1,280,9,192,481
Boston,5,2,494,9,105,608
Boston,5,3,855,27,265,"1,147"
Boston,5,4,485,7,84,576
Boston,5,5,592,15,243,850
Boston,5,6,651,17,270,938
Boston,5,7,815,14,304,"1,133"
Boston,5,8,725,20,278,"1,023"
Boston,5,9,745,25,220,990
Boston,5,10,348,9,79,436
Boston,5,11,327,5,79,411
Boston,5,12,372,5,61,438
Boston,5,13,614,6,227,847
Boston,5,14,619,10,153,782
Boston,5,15,422,6,116,544
Boston,6,1,813,15,198,"1,026"
Boston,6,2,445,10,127,582
Boston,6,3,611,13,168,792
Boston,6,4,452,11,118,581
Boston,6,5,642,17,167,826
Boston,6,6,646,22,211,879
Boston,6,7,597,24,201,822
Boston,6,8,742,18,207,967
Boston,6,9,690,23,255,968
Boston,6,10,505,22,150,677
Boston,6,11,611,14,183,808
Boston,6,12,913,26,284,"1,223"
Boston,6,12A,0,0,0,0
Boston,7,1,526,11,167,704
Boston,7,2,681,13,213,907
