City/Town,Ward,Pct,"Thomas M. Quinn, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,876,12,360,"1,248"
Acushnet,-,2,836,10,423,"1,269"
Acushnet,-,2A,96,0,41,137
Acushnet,-,3,"1,036",11,457,"1,504"
Attleboro,1,A,828,11,393,"1,232"
Attleboro,1,B,884,13,375,"1,272"
Attleboro,2,A,987,14,467,"1,468"
Attleboro,2,B,909,8,374,"1,291"
Attleboro,3,A,939,6,366,"1,311"
Attleboro,3,B,"1,028",10,420,"1,458"
Attleboro,4,A,825,12,321,"1,158"
Attleboro,4,B,"1,215",12,575,"1,802"
Attleboro,5,A,595,9,175,779
Attleboro,5,B,960,14,352,"1,326"
Attleboro,6,A,854,13,404,"1,271"
Attleboro,6,B,"1,020",12,413,"1,445"
Berkley,-,1,919,50,587,"1,556"
Berkley,-,2,744,48,471,"1,263"
Dartmouth,-,1,"1,014",35,509,"1,558"
Dartmouth,-,2,780,13,291,"1,084"
Dartmouth,-,3,139,8,37,184
Dartmouth,-,4,986,19,387,"1,392"
Dartmouth,-,5,"1,118",16,406,"1,540"
Dartmouth,-,6,927,21,304,"1,252"
Dartmouth,-,7,"1,181",20,418,"1,619"
Dartmouth,-,8,"1,578",24,473,"2,075"
Dartmouth,-,9,"1,545",27,530,"2,102"
Dighton,-,1,660,21,430,"1,111"
Dighton,-,2,683,23,414,"1,120"
Dighton,-,3,607,23,373,"1,003"
Easton,-,1,"1,194",19,569,"1,782"
Easton,-,2,"1,081",12,518,"1,611"
Easton,-,3,478,6,195,679
Easton,-,4A,515,2,283,800
Easton,-,4B,584,7,319,910
Easton,-,5,"1,003",15,453,"1,471"
Easton,-,6,"1,022",13,528,"1,563"
Easton,-,7,"1,023",11,420,"1,454"
Fairhaven,-,1,877,21,305,"1,203"
Fairhaven,-,2,853,14,279,"1,146"
Fairhaven,-,3,615,29,216,860
Fairhaven,-,4,819,23,328,"1,170"
Fairhaven,-,5,838,36,407,"1,281"
Fairhaven,-,6,799,26,347,"1,172"
"Fall River",1,A,700,26,298,"1,024"
"Fall River",1,B,495,14,182,691
"Fall River",1,C,508,22,197,727
"Fall River",2,A,320,19,108,447
"Fall River",2,B,290,11,116,417
"Fall River",2,C,363,13,154,530
"Fall River",3,A,506,15,169,690
"Fall River",3,B,471,12,171,654
"Fall River",3,C,566,23,204,793
"Fall River",4,A,372,16,101,489
"Fall River",4,B,271,14,81,366
"Fall River",4,C,388,8,102,498
"Fall River",5,A,244,8,72,324
"Fall River",5,B,225,7,68,300
"Fall River",5,C,295,4,92,391
"Fall River",6,A,573,16,260,849
"Fall River",6,B,399,9,118,526
"Fall River",6,C,425,10,191,626
"Fall River",7,A,624,18,198,840
"Fall River",7,B,370,14,109,493
"Fall River",7,C,480,19,140,639
"Fall River",8,A,443,17,166,626
"Fall River",8,B,784,30,243,"1,057"
"Fall River",8,C,742,15,260,"1,017"
"Fall River",9,A,"1,009",22,361,"1,392"
"Fall River",9,B,740,26,246,"1,012"
"Fall River",9,C,607,23,226,856
Freetown,-,1,831,11,435,"1,277"
Freetown,-,2,856,14,432,"1,302"
Freetown,-,3,803,22,441,"1,266"
Mansfield,-,1,"1,009",13,549,"1,571"
Mansfield,-,2,701,7,328,"1,036"
Mansfield,-,2A,308,1,133,442
Mansfield,-,3,"1,219",12,575,"1,806"
Mansfield,-,4,966,15,439,"1,420"
Mansfield,-,5,945,0,368,"1,313"
Mansfield,-,6,696,7,257,960
Mansfield,-,6A,159,0,71,230
Mansfield,-,7,"1,014",3,437,"1,454"
"New Bedford",1,A,545,16,182,743
"New Bedford",1,A1,75,3,18,96
"New Bedford",1,B,623,25,226,874
"New Bedford",1,B1,63,0,26,89
"New Bedford",1,C,457,22,162,641
"New Bedford",1,C1,85,0,26,111
"New Bedford",1,D,741,27,290,"1,058"
"New Bedford",1,E,656,10,202,868
"New Bedford",1,F,693,27,229,949
"New Bedford",2,A,93,7,16,116
"New Bedford",2,B,172,11,44,227
"New Bedford",2,C,226,8,55,289
"New Bedford",2,D,463,16,141,620
"New Bedford",2,E,557,21,203,781
"New Bedford",2,F,366,18,102,486
"New Bedford",3,A,240,13,42,295
"New Bedford",3,B,221,1,45,267
"New Bedford",3,C,178,2,64,244
"New Bedford",3,D,335,7,106,448
"New Bedford",3,E,515,19,158,692
"New Bedford",3,F,477,12,148,637
"New Bedford",3,F1,215,2,41,258
"New Bedford",4,A,124,4,23,151
"New Bedford",4,A1,146,1,25,172
"New Bedford",4,B,450,12,87,549
"New Bedford",4,C,467,8,84,559
"New Bedford",4,D,417,17,81,515
"New Bedford",4,E,367,8,95,470
"New Bedford",4,F,458,8,87,553
"New Bedford",5,A,320,6,80,406
"New Bedford",5,B,600,21,166,787
"New Bedford",5,C,492,18,158,668
"New Bedford",5,D,739,16,154,909
"New Bedford",5,E,778,21,259,"1,058"
"New Bedford",5,F,729,22,194,945
"New Bedford",6,A,596,19,189,804
"New Bedford",6,B,460,8,120,588
"New Bedford",6,C,214,4,54,272
"New Bedford",6,D,188,4,32,224
"New Bedford",6,E,226,7,41,274
"New Bedford",6,F,372,9,80,461
"N. Attleborough",-,1,620,10,246,876
"N. Attleborough",-,2,901,9,388,"1,298"
"N. Attleborough",-,3,839,3,513,"1,355"
"N. Attleborough",-,4,769,17,260,"1,046"
"N. Attleborough",-,5,812,11,338,"1,161"
"N. Attleborough",-,6,987,15,430,"1,432"
"N. Attleborough",-,7,"1,070",11,551,"1,632"
"N. Attleborough",-,8,912,15,454,"1,381"
"N. Attleborough",-,9,824,14,401,"1,239"
Norton,-,1,"1,017",44,598,"1,659"
Norton,-,2,"1,011",58,532,"1,601"
Norton,-,3,968,44,527,"1,539"
Norton,-,4,992,36,609,"1,637"
Norton,-,5,623,20,343,986
Raynham,-,1,957,0,554,"1,511"
Raynham,-,2,575,0,354,929
Raynham,-,2A,334,0,274,608
Raynham,-,3,"1,027",0,655,"1,682"
Raynham,-,4,860,0,560,"1,420"
Raynham,-,4A,24,0,23,47
Rehoboth,-,1,806,0,570,"1,376"
Rehoboth,-,2,783,0,534,"1,317"
Rehoboth,-,3,810,0,587,"1,397"
Rehoboth,-,4,822,0,517,"1,339"
Seekonk,-,1,963,69,483,"1,515"
Seekonk,-,2,"1,234",63,543,"1,840"
Seekonk,-,3,943,60,402,"1,405"
