City/Town,Ward,Pct,"Marian T. Ryan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,8,4A,24,0,6,30
Malden,1,1,378,5,75,458
Malden,1,2,442,10,147,599
Malden,1,3,481,15,139,635
Malden,2,1,393,11,78,482
Malden,2,2,375,18,161,554
Malden,2,3,512,17,174,703
Malden,3,1,335,5,123,463
Malden,3,1A,403,6,155,564
Malden,3,2,507,13,142,662
Malden,3,3,674,17,201,892
Malden,4,1,441,10,103,554
Malden,4,2,293,8,81,382
Malden,4,3,444,8,90,542
Malden,5,1,479,17,147,643
Malden,5,2,752,16,240,"1,008"
Malden,5,3,282,14,77,373
Malden,5,3A,145,0,18,163
Malden,6,1,688,28,223,939
Malden,6,2,424,16,148,588
Malden,6,3,470,18,151,639
Malden,7,1,372,6,101,479
Malden,7,2,376,6,98,480
Malden,7,3,238,6,76,320
Malden,7,3A,169,6,45,220
Malden,8,1,545,8,183,736
Malden,8,2,434,16,112,562
Malden,8,3,332,5,101,438
Marlborough,1,1,624,7,230,861
Marlborough,1,1A,24,0,2,26
Marlborough,1,2,985,10,402,"1,397"
Marlborough,2,1,789,3,349,"1,141"
Marlborough,2,2,630,7,200,837
Marlborough,2,2A,5,0,4,9
Marlborough,3,1,451,9,147,607
Marlborough,3,2,912,6,278,"1,196"
Marlborough,4,1,372,4,140,516
Marlborough,4,2,916,8,359,"1,283"
Marlborough,5,1,446,3,151,600
Marlborough,5,2,769,5,258,"1,032"
Marlborough,6,1,464,2,195,661
Marlborough,6,2,921,5,388,"1,314"
Marlborough,7,1,614,10,246,870
Marlborough,7,2,634,5,273,912
Marlborough,7,2A,23,1,12,36
Maynard,-,1,"1,057",15,275,"1,347"
Maynard,-,2,900,13,219,"1,132"
Maynard,-,3,"1,241",29,303,"1,573"
Maynard,-,4,863,38,229,"1,130"
Medford,1,1,933,0,335,"1,268"
Medford,1,2,"1,086",0,341,"1,427"
Medford,2,1,911,0,356,"1,267"
Medford,2,2,"1,282",0,564,"1,846"
Medford,3,1,"1,228",0,516,"1,744"
Medford,3,2,"1,346",0,609,"1,955"
Medford,4,1,530,0,136,666
Medford,4,2,"1,117",0,381,"1,498"
Medford,5,1,"1,026",0,257,"1,283"
Medford,5,2,992,0,207,"1,199"
Medford,6,1,"1,341",0,379,"1,720"
Medford,6,2,"1,180",0,399,"1,579"
Medford,6,2A,57,0,24,81
Medford,7,1,556,0,160,716
Medford,7,2,667,0,169,836
Medford,7,2A,88,0,14,102
Medford,8,1,"1,134",0,381,"1,515"
Medford,8,2,906,0,334,"1,240"
Melrose,1,1,837,9,283,"1,129"
Melrose,1,2,672,8,230,910
Melrose,2,1,774,14,319,"1,107"
Melrose,2,2,725,22,228,975
Melrose,3,1,678,13,217,908
Melrose,3,2,701,14,272,987
Melrose,4,1,658,9,214,881
Melrose,4,2,729,23,364,"1,116"
Melrose,5,1,515,9,131,655
Melrose,5,2,531,10,113,654
Melrose,6,1,682,5,205,892
Melrose,6,2,838,15,288,"1,141"
Melrose,7,1,725,17,256,998
Melrose,7,2,758,29,297,"1,084"
Natick,-,1,717,5,187,909
Natick,-,2,"1,214",5,385,"1,604"
Natick,-,3,"1,183",9,399,"1,591"
Natick,-,4,"1,161",6,343,"1,510"
