City/Town,Ward,Pct,"Paul F. Tucker","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newbury,-,1,"1,369",43,579,"1,991"
Newbury,-,2,"1,307",31,637,"1,975"
Newburyport,1,1,"1,013",14,362,"1,389"
Newburyport,2,1,"1,241",23,382,"1,646"
Newburyport,3,1,"1,300",25,419,"1,744"
Newburyport,4,1,"1,239",13,462,"1,714"
Newburyport,5,1,"1,006",21,420,"1,447"
Newburyport,6,1,"1,085",40,462,"1,587"
Newburyport,1,P,265,8,120,393
"N. Andover",-,1,930,13,350,"1,293"
"N. Andover",-,2,"1,086",23,452,"1,561"
"N. Andover",-,3,"1,023",20,411,"1,454"
"N. Andover",-,4,"1,417",35,587,"2,039"
"N. Andover",-,5,628,6,233,867
"N. Andover",-,6,"1,266",18,660,"1,944"
"N. Andover",-,7,"1,212",23,473,"1,708"
"N. Andover",-,8,"1,133",27,600,"1,760"
Peabody,1,1,896,25,338,"1,259"
Peabody,1,2,918,38,425,"1,381"
Peabody,1,3,966,41,395,"1,402"
Peabody,2,1,575,15,136,726
Peabody,2,2,524,18,149,691
Peabody,2,3,687,19,236,942
Peabody,3,1,427,11,99,537
Peabody,3,2,653,19,208,880
Peabody,3,3,741,22,274,"1,037"
Peabody,4,1,827,33,264,"1,124"
Peabody,4,2,521,18,186,725
Peabody,4,3,345,7,131,483
Peabody,4,3A,973,6,325,"1,304"
Peabody,5,1,"1,037",26,435,"1,498"
Peabody,5,2,657,21,348,"1,026"
Peabody,5,3,715,35,320,"1,070"
Peabody,6,1,998,44,605,"1,647"
Peabody,6,2,866,34,522,"1,422"
Peabody,6,3,961,56,574,"1,591"
Rockport,-,1,810,7,264,"1,081"
Rockport,-,2,"1,094",15,315,"1,424"
Rockport,-,3,"1,314",455,21,"1,790"
Rowley,,,"2,098",79,"1,026","3,203"
Salem,1,1,"1,311",3,273,"1,587"
Salem,1,2,409,6,60,475
Salem,2,1,"1,219",0,213,"1,432"
Salem,2,2,"1,297",10,220,"1,527"
Salem,3,1,879,0,166,"1,045"
Salem,3,2,940,1,229,"1,170"
Salem,4,1,881,7,229,"1,117"
Salem,4,2,972,2,274,"1,248"
Salem,5,1,"1,095",3,173,"1,271"
Salem,5,2,883,4,152,"1,039"
Salem,6,1,"1,027",5,191,"1,223"
Salem,6,2,"1,161",6,200,"1,367"
Salem,7,1,718,1,150,869
Salem,7,2,"1,070",2,260,"1,332"
Salisbury,-,1,902,7,465,"1,374"
Salisbury,-,2,898,1,473,"1,372"
Salisbury,-,3,840,1,469,"1,310"
Saugus,-,1,643,0,402,"1,045"
Saugus,-,2,593,0,367,960
Saugus,-,3,614,0,384,998
Saugus,-,4,597,0,408,"1,005"
Saugus,-,5,664,0,525,"1,189"
Saugus,-,6,618,0,383,"1,001"
Saugus,-,7,613,0,539,"1,152"
Saugus,-,8,597,0,443,"1,040"
Saugus,-,9,684,0,476,"1,160"
Saugus,-,10,548,0,338,886
Swampscott,-,1,789,18,259,"1,066"
Swampscott,-,2,779,15,306,"1,100"
Swampscott,-,3,902,14,259,"1,175"
Swampscott,-,4,964,25,305,"1,294"
Swampscott,-,5,862,15,371,"1,248"
Swampscott,-,6,874,22,314,"1,210"
Topsfield,-,1,"1,144",22,588,"1,754"
Topsfield,-,2,"1,086",8,514,"1,608"
Wenham,-,1,520,7,213,740
Wenham,-,1A,877,22,336,"1,235"
"W. Newbury",,,"1,794",37,755,"2,586"
TOTALS,,,"203,382","5,340","80,669","289,391"
