City/Town,Ward,Pct,"Daniel R. Carey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,851,23,187,"1,061"
Amherst,-,1B,445,10,101,556
Amherst,-,2A,503,5,133,641
Amherst,-,2B,"1,428",22,294,"1,744"
Amherst,-,3A,480,2,124,606
Amherst,-,3B,"1,298",17,317,"1,632"
Amherst,-,4A,671,11,181,863
Amherst,-,4B,430,3,103,536
Amherst,-,5A,564,7,122,693
Amherst,-,5B,"1,981",14,416,"2,411"
Belchertown,-,A,"1,674",5,720,"2,399"
Belchertown,-,B,"1,797",7,807,"2,611"
Belchertown,-,C,"1,689",0,760,"2,449"
Belchertown,-,D,"1,554",6,612,"2,172"
Chesterfield,-,1,636,0,200,836
Cummington,-,1,449,0,138,587
Easthampton,-,1,"1,701",6,348,"2,055"
Easthampton,-,2,"1,568",5,320,"1,893"
Easthampton,-,3,"1,741",5,390,"2,136"
Easthampton,-,4,"1,696",7,319,"2,022"
Easthampton,-,5,"1,730",6,419,"2,155"
Goshen,-,1,505,2,164,671
Granby,-,1,"1,299",0,690,"1,989"
Granby,-,2,"1,207",0,743,"1,950"
Granby,-,2A,31,0,14,45
Hadley,-,1,"2,563",3,776,"3,342"
Hatfield,-,1,"1,718",9,524,"2,251"
Huntington,-,1,844,5,390,"1,239"
Middlefield,-,1,239,0,78,317
Northampton,1,A,963,2,188,"1,153"
Northampton,1,B,"1,085",8,224,"1,317"
Northampton,2,A,814,1,183,998
Northampton,2,B,685,5,134,824
Northampton,3,A,"1,000",9,257,"1,266"
Northampton,3,B,996,5,244,"1,245"
Northampton,4,A,833,2,156,991
Northampton,4,B,"1,070",3,254,"1,327"
Northampton,5,A,885,4,235,"1,124"
Northampton,5,B,"1,106",2,207,"1,315"
Northampton,6,A,"1,242",7,299,"1,548"
Northampton,6,B,"1,250",2,267,"1,519"
Northampton,7,A,986,3,267,"1,256"
Northampton,7,B,"1,056",1,275,"1,332"
Pelham,-,1,717,0,144,861
Plainfield,-,1,313,0,119,432
"S. Hadley",-,A,"1,469",4,462,"1,935"
"S. Hadley",-,B,"1,608",11,581,"2,200"
"S. Hadley",-,C,"1,696",5,615,"2,316"
"S. Hadley",-,D,965,6,323,"1,294"
"S. Hadley",-,E,"1,655",11,592,"2,258"
Southampton,-,1,"1,436",25,544,"2,005"
Southampton,-,2,"1,474",30,579,"2,083"
Ware,-,A,"1,052",2,375,"1,429"
Ware,-,B,"1,105",10,538,"1,653"
Ware,-,C,"1,371",5,671,"2,047"
Westhampton,-,1,952,8,288,"1,248"
Williamsburg,-,1,"1,478",4,351,"1,833"
Worthington,-,1,658,1,219,878
TOTALS,,,"65,212",356,"19,981","85,549"
