City/Town,Ward,Pct,"Walter F. Timilty, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Quincy,4,4,908,17,201,"1,126"
Quincy,4,5,956,20,216,"1,192"
Quincy,5,1,537,23,135,695
Quincy,5,1A,364,6,101,471
Quincy,5,2,963,19,272,"1,254"
Quincy,5,3,"1,437",30,362,"1,829"
Quincy,5,4,902,19,276,"1,197"
Quincy,5,5,"1,202",20,388,"1,610"
Quincy,6,1,"1,038",20,292,"1,350"
Quincy,6,2,986,28,233,"1,247"
Quincy,6,3,"1,231",12,380,"1,623"
Quincy,6,4,860,16,279,"1,155"
Quincy,6,5,"1,624",29,522,"2,175"
Randolph,-,1,"1,270",24,283,"1,577"
Randolph,-,2,"1,024",27,215,"1,266"
Randolph,-,3,920,22,205,"1,147"
Randolph,-,4,"1,145",23,281,"1,449"
Randolph,-,5,"1,115",30,242,"1,387"
Randolph,-,6,720,26,136,882
Randolph,-,7,942,20,264,"1,226"
Randolph,-,8,985,24,224,"1,233"
Randolph,-,9,"1,040",21,234,"1,295"
Randolph,-,10,"1,165",30,249,"1,444"
Randolph,-,11,"1,008",27,295,"1,330"
Randolph,-,12,989,27,254,"1,270"
Sharon,-,1,"1,609",23,565,"2,197"
Sharon,-,2,"1,531",20,545,"2,096"
Sharon,-,3,"1,591",13,639,"2,243"
Sharon,-,4,"1,611",13,556,"2,180"
Sharon,-,5,"1,557",21,612,"2,190"
Stoughton,-,1,"1,350",16,423,"1,789"
Stoughton,-,2,"1,168",14,447,"1,629"
Stoughton,-,2A,178,1,50,229
Stoughton,-,3,"1,525",30,518,"2,073"
Stoughton,-,4,"1,505",29,633,"2,167"
Stoughton,-,4A,129,0,52,181
Stoughton,-,5,"1,031",23,431,"1,485"
Stoughton,-,5A,83,0,52,135
Stoughton,-,6,"1,400",14,539,"1,953"
Stoughton,-,7,"1,326",18,392,"1,736"
Stoughton,-,7A,82,2,17,101
Stoughton,-,8,951,20,334,"1,305"
Stoughton,-,8A,64,2,22,88
Walpole,-,1,"1,378",14,474,"1,866"
Walpole,-,2,"1,412",9,690,"2,111"
Walpole,-,2A,29,0,11,40
Walpole,-,3,"1,683",8,718,"2,409"
Walpole,-,4,"1,202",11,431,"1,644"
Walpole,-,5,"1,184",17,485,"1,686"
Walpole,-,5A,28,0,19,47
Walpole,-,6,"1,471",13,592,"2,076"
Walpole,-,7,"1,414",11,631,"2,056"
Walpole,-,8,"1,376",9,682,"2,067"
Wellesley,-,A,"1,485",12,587,"2,084"
Wellesley,-,B,"1,671",10,628,"2,309"
Wellesley,-,C,"1,431",22,835,"2,288"
Wellesley,-,D,"1,567",20,608,"2,195"
Wellesley,-,E,"1,522",6,584,"2,112"
Wellesley,-,F,943,4,383,"1,330"
Wellesley,-,G,805,4,269,"1,078"
Wellesley,-,H,"1,460",8,666,"2,134"
Westwood,-,1,"1,424",12,636,"2,072"
Westwood,-,2,"1,408",14,706,"2,128"
Westwood,-,3,"1,350",7,558,"1,915"
Westwood,-,4,"1,237",7,662,"1,906"
Westwood,-,5,"1,447",11,727,"2,185"
Weymouth,-,1,"1,315",24,442,"1,781"
Weymouth,-,2,"1,441",31,566,"2,038"
Weymouth,-,3,"1,476",31,522,"2,029"
Weymouth,-,4,"1,261",19,414,"1,694"
Weymouth,-,5,"1,304",17,376,"1,697"
Weymouth,-,6,"1,519",28,488,"2,035"
Weymouth,-,7,"1,136",27,377,"1,540"
Weymouth,-,8,"1,272",27,404,"1,703"
Weymouth,-,9,902,24,307,"1,233"
Weymouth,-,9A,356,11,140,507
Weymouth,-,10,"1,076",38,372,"1,486"
Weymouth,-,11,"1,122",27,325,"1,474"
Weymouth,-,12,"1,418",28,556,"2,002"
Weymouth,-,13,931,14,268,"1,213"
Weymouth,-,14,"1,578",27,469,"2,074"
Weymouth,-,15,"1,419",32,516,"1,967"
Weymouth,-,16,"1,660",29,578,"2,267"
Weymouth,-,17,"1,102",33,361,"1,496"
Weymouth,-,18,"1,204",20,341,"1,565"
Wrentham,-,1,"1,315",48,587,"1,950"
Wrentham,-,2,"1,284",66,630,"1,980"
Wrentham,-,3,"1,362",44,529,"1,935"
Wrentham,-,4,"1,424",51,571,"2,046"
TOTALS,,,"282,786","4,719","103,861","391,366"
