City/Town,Ward,Pct,"T. George Davis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,298,0,53,351
Chilmark,-,1,814,1,130,945
Edgartown,-,1,"2,272",9,655,"2,936"
Gosnold,-,1,47,0,23,70
"Oak Bluffs",-,1,"2,531",17,582,"3,130"
Tisbury,-,1,"2,175",4,521,"2,700"
"W. Tisbury",-,1,"1,840",11,354,"2,205"
TOTALS,,,"9,977",42,"2,318","12,337"
