City/Town,Ward,Pct,"Michael A. Sullivan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,139",22,312,"1,473"
Acton,-,2,"1,521",20,463,"2,004"
Acton,-,3,"1,722",22,497,"2,241"
Acton,-,4,"1,625",19,413,"2,057"
Acton,-,5,"1,562",14,424,"2,000"
Acton,-,6,"1,073",15,287,"1,375"
Acton,-,6A,472,5,107,584
Acton,-,7,"1,193",18,386,"1,597"
Arlington,-,1,781,13,194,988
Arlington,-,2,"1,067",4,312,"1,383"
Arlington,-,3,"1,056",3,253,"1,312"
Arlington,-,4,967,3,271,"1,241"
Arlington,-,5,"1,118",10,276,"1,404"
Arlington,-,6,981,1,277,"1,259"
Arlington,-,7,"1,023",3,270,"1,296"
Arlington,-,8,"1,092",7,330,"1,429"
Arlington,-,9,865,3,251,"1,119"
Arlington,-,10,"1,126",1,306,"1,433"
Arlington,-,11,"1,146",8,335,"1,489"
Arlington,-,12,"1,188",3,341,"1,532"
Arlington,-,13,"1,069",9,353,"1,431"
Arlington,-,14,955,3,275,"1,233"
Arlington,-,15,992,5,280,"1,277"
Arlington,-,16,"1,050",3,301,"1,354"
Arlington,-,17,923,3,279,"1,205"
Arlington,-,18,"1,042",5,324,"1,371"
Arlington,-,19,"1,116",1,239,"1,356"
Arlington,-,20,"1,010",4,283,"1,297"
Arlington,-,21,"1,086",4,265,"1,355"
Ashby,-,1,"1,307",0,696,"2,003"
Ashland,-,1,"1,136",0,362,"1,498"
Ashland,-,2,"1,559",0,454,"2,013"
Ashland,-,3,"1,193",0,321,"1,514"
Ashland,-,4,"1,143",0,378,"1,521"
Ashland,-,5,"1,222",0,376,"1,598"
Ashland,-,6,"1,349",0,413,"1,762"
Ayer,-,1,"1,096",0,423,"1,519"
Ayer,-,2,"1,238",0,520,"1,758"
Ayer,-,3,"1,047",0,380,"1,427"
Bedford,-,1,"1,660",29,549,"2,238"
Bedford,-,2,"1,057",19,379,"1,455"
Bedford,-,2A,299,4,133,436
Bedford,-,3,"1,617",35,578,"2,230"
Bedford,-,4,"1,538",22,513,"2,073"
Belmont,-,1,"1,310",4,479,"1,793"
Belmont,-,2,"1,491",7,642,"2,140"
Belmont,-,3,"1,319",10,449,"1,778"
Belmont,-,4,"1,195",8,347,"1,550"
Belmont,-,5,"1,349",8,433,"1,790"
Belmont,-,6,"1,577",8,554,"2,139"
Belmont,-,7,"1,397",5,413,"1,815"
Belmont,-,8,"1,150",4,495,"1,649"
Billerica,-,1,"1,068",38,466,"1,572"
Billerica,-,2,"1,442",49,616,"2,107"
Billerica,-,3,"1,368",43,684,"2,095"
Billerica,-,4,"1,223",31,565,"1,819"
Billerica,-,5,"1,547",41,828,"2,416"
Billerica,-,6,"1,210",35,537,"1,782"
Billerica,-,7,"1,304",41,573,"1,918"
Billerica,-,8,"1,345",38,610,"1,993"
Billerica,-,9,"1,459",49,690,"2,198"
Billerica,-,10,"1,535",70,731,"2,336"
Billerica,-,11,"1,147",40,548,"1,735"
Billerica,-,12,"1,273",28,609,"1,910"
Boxborough,-,1,"2,405",17,770,"3,192"
Burlington,-,1,"1,445",46,881,"2,372"
Burlington,-,2,999,23,429,"1,451"
Burlington,-,3,"1,390",42,701,"2,133"
Burlington,-,4,"1,180",26,492,"1,698"
Burlington,-,5,"1,617",48,768,"2,433"
Burlington,-,6,"1,572",48,732,"2,352"
Burlington,-,7,"1,451",35,675,"2,161"
Cambridge,1,1,818,5,187,"1,010"
Cambridge,1,2,349,2,102,453
Cambridge,1,2A,33,0,5,38
Cambridge,1,3,"1,240",8,287,"1,535"
Cambridge,2,1,"1,343",11,279,"1,633"
Cambridge,2,2,"1,243",10,295,"1,548"
Cambridge,2,3,"1,122",3,260,"1,385"
Cambridge,2,3A,109,0,38,147
Cambridge,3,1,"1,094",5,272,"1,371"
Cambridge,3,2,"1,340",15,303,"1,658"
Cambridge,3,3,932,2,171,"1,105"
Cambridge,3,3A,467,2,87,556
Cambridge,4,1,"1,566",5,380,"1,951"
Cambridge,4,2,"1,207",3,293,"1,503"
Cambridge,4,2A,192,1,55,248
Cambridge,4,3,"1,402",9,316,"1,727"
Cambridge,5,1,"1,277",6,347,"1,630"
Cambridge,5,2,250,2,59,311
Cambridge,5,3,"1,258",5,297,"1,560"
Cambridge,6,1,"1,171",3,269,"1,443"
Cambridge,6,1A,348,0,63,411
Cambridge,6,2,865,3,205,"1,073"
Cambridge,6,3,"1,531",6,400,"1,937"
Cambridge,7,1,"1,387",3,299,"1,689"
Cambridge,7,2,975,6,256,"1,237"
Cambridge,7,2A,25,0,15,40
Cambridge,7,3,427,6,98,531
Cambridge,8,1,"1,237",1,273,"1,511"
Cambridge,8,2,"1,259",6,300,"1,565"
Cambridge,8,3,452,6,89,547
Cambridge,9,1,"1,997",10,463,"2,470"
Cambridge,9,2,"1,649",6,348,"2,003"
Cambridge,9,3,"1,528",4,378,"1,910"
Cambridge,10,1,"1,071",5,234,"1,310"
Cambridge,10,1A,698,4,176,878
Cambridge,10,2,"1,795",3,374,"2,172"
Cambridge,10,3,"1,365",11,346,"1,722"
Cambridge,11,1,672,2,102,776
Cambridge,11,1A,661,3,165,829
Cambridge,11,2,"1,024",3,292,"1,319"
Cambridge,11,3,"1,408",5,330,"1,743"
Cambridge,11,3A,138,0,38,176
Carlisle,-,1,"2,577",27,857,"3,461"
Chelmsford,-,1,"1,200",19,544,"1,763"
Chelmsford,-,2,"1,362",7,566,"1,935"
Chelmsford,-,3A,627,7,272,906
Chelmsford,-,3B,701,5,243,949
Chelmsford,-,4,"1,488",14,656,"2,158"
Chelmsford,-,5A,"1,151",10,559,"1,720"
Chelmsford,-,5B,341,2,189,532
Chelmsford,-,6,"1,378",15,572,"1,965"
Chelmsford,-,7,"1,256",22,581,"1,859"
Chelmsford,-,8,"1,326",4,544,"1,874"
Chelmsford,-,9,"1,453",14,688,"2,155"
Chelmsford,-,10,"1,214",17,529,"1,760"
Chelmsford,-,11,"1,438",13,678,"2,129"
Concord,-,1,"1,611",13,462,"2,086"
Concord,-,2,"1,956",10,512,"2,478"
Concord,-,3,"1,877",8,594,"2,479"
Concord,-,4,"2,076",7,566,"2,649"
Concord,-,5,"1,851",11,472,"2,334"
Dracut,-,1,"1,214",0,450,"1,664"
Dracut,-,2,"1,222",0,491,"1,713"
Dracut,-,3,"1,285",0,605,"1,890"
Dracut,-,4,"1,531",0,863,"2,394"
Dracut,-,5,"1,376",0,620,"1,996"
Dracut,-,6,"1,237",0,494,"1,731"
Dracut,-,6A,58,0,24,82
Dracut,-,7,"1,239",0,550,"1,789"
Dracut,-,8,"1,574",0,827,"2,401"
Dracut,-,9,"1,386",0,576,"1,962"
Dunstable,-,1,"1,495",41,695,"2,231"
Everett,1,1,501,18,187,706
Everett,1,2,373,23,128,524
Everett,1,3,289,5,98,392
Everett,1,3A,148,12,46,206
Everett,2,1,543,19,224,786
Everett,2,2,223,7,84,314
Everett,2,2A,233,4,73,310
Everett,2,3,444,21,149,614
Everett,3,1,656,19,300,975
Everett,3,2,541,19,204,764
Everett,3,3,392,14,148,554
Everett,4,1,602,17,192,811
Everett,4,2,537,20,189,746
Everett,4,3,517,20,193,730
Everett,5,1,499,16,193,708
Everett,5,2,466,20,159,645
Everett,5,3,476,20,157,653
Everett,6,1,596,15,158,769
Everett,6,2,471,14,170,655
Everett,6,3,596,22,178,796
