City/Town,Ward,Pct,"Stephanie L. Everett","Mohamed Bah","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Boston,1,1,743,166,2,188,"1,099"
Boston,1,2,607,129,5,119,860
Boston,1,3,"1,498",325,18,371,"2,212"
Boston,1,4,589,137,8,144,878
Boston,1,5,649,133,9,169,960
Boston,1,6,523,109,9,156,797
Boston,1,7,592,114,17,152,875
Boston,1,8,732,129,11,216,"1,088"
Boston,1,9,542,110,13,139,804
Boston,1,10,304,70,7,97,478
Boston,1,11,694,146,15,226,"1,081"
Boston,1,12,614,160,13,223,"1,010"
Boston,1,13,819,201,20,301,"1,341"
Boston,1,14,407,99,6,170,682
Boston,1,15,0,0,0,0,0
Boston,2,1,980,205,20,339,"1,544"
Boston,2,2,858,204,10,312,"1,384"
Boston,2,3,963,211,10,373,"1,557"
Boston,2,4,939,186,6,255,"1,386"
Boston,2,5,"1,011",191,8,265,"1,475"
Boston,2,6,834,184,9,247,"1,274"
Boston,2,7,609,122,3,147,881
Boston,2,8,516,82,5,224,827
Boston,3,1,838,221,8,283,"1,350"
Boston,3,2,888,212,6,295,"1,401"
Boston,3,3,588,143,4,134,869
Boston,3,4,649,137,6,185,977
Boston,3,5,905,159,4,222,"1,290"
Boston,3,6,641,110,3,150,904
Boston,3,7,842,97,4,212,"1,155"
Boston,3,8,729,162,6,229,"1,126"
Boston,3,9,601,103,4,142,850
Boston,3,10,"1,045",214,5,205,"1,469"
Boston,3,11,735,162,4,215,"1,116"
Boston,3,12,812,176,2,290,"1,280"
Boston,3,13,566,166,1,187,920
Boston,3,13A,0,0,0,0,0
Boston,3,14,575,108,2,353,"1,038"
Boston,3,15,825,136,7,152,"1,120"
Boston,3,16,"1,078",130,4,242,"1,454"
Boston,3,17,642,127,3,146,918
Boston,4,1,793,126,3,198,"1,120"
Boston,4,2,668,133,9,180,990
Boston,4,3,912,173,5,240,"1,330"
Boston,4,4,993,176,3,241,"1,413"
Boston,4,5,768,137,8,243,"1,156"
Boston,4,6,637,99,0,201,937
Boston,4,7,549,80,7,152,788
Boston,4,8,557,101,5,162,825
Boston,4,9,167,43,3,51,264
Boston,4,10,198,31,5,44,278
Boston,4,11,33,14,0,11,58
Boston,4,12,176,29,1,59,265
Boston,5,1,390,71,5,259,725
Boston,5,2,635,101,2,164,902
