City/Town,Ward,Pct,"Mark Smith Ames","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,841,21,199,"1,061"
Amherst,-,1B,433,12,111,556
Amherst,-,2A,503,4,134,641
Amherst,-,2B,"1,410",21,313,"1,744"
Amherst,-,3A,466,3,137,606
Amherst,-,3B,"1,274",18,340,"1,632"
Amherst,-,4A,662,11,190,863
Amherst,-,4B,423,3,110,536
Amherst,-,5A,557,6,130,693
Amherst,-,5B,"1,959",14,438,"2,411"
Belchertown,-,A,"1,651",4,744,"2,399"
Belchertown,-,B,"1,775",8,828,"2,611"
Belchertown,-,C,"1,662",0,787,"2,449"
Belchertown,-,D,"1,510",6,656,"2,172"
Chesterfield,-,1,626,0,210,836
Cummington,-,1,453,0,134,587
Easthampton,-,1,"1,594",8,453,"2,055"
Easthampton,-,2,"1,479",7,407,"1,893"
Easthampton,-,3,"1,642",8,486,"2,136"
Easthampton,-,4,"1,596",4,422,"2,022"
Easthampton,-,5,"1,605",6,544,"2,155"
Goshen,-,1,498,2,171,671
Granby,-,1,"1,279",0,710,"1,989"
Granby,-,2,"1,178",0,772,"1,950"
Granby,-,2A,28,0,17,45
Hadley,-,1,"2,477",2,863,"3,342"
Hatfield,-,1,"1,696",8,547,"2,251"
Huntington,-,1,850,4,385,"1,239"
Middlefield,-,1,239,0,78,317
Northampton,1,A,948,2,203,"1,153"
Northampton,1,B,"1,092",7,218,"1,317"
Northampton,2,A,832,2,164,998
Northampton,2,B,685,1,138,824
Northampton,3,A,995,7,264,"1,266"
Northampton,3,B,997,5,243,"1,245"
Northampton,4,A,825,2,164,991
Northampton,4,B,"1,048",3,276,"1,327"
Northampton,5,A,888,3,233,"1,124"
Northampton,5,B,"1,109",0,206,"1,315"
Northampton,6,A,"1,223",3,322,"1,548"
Northampton,6,B,"1,228",2,289,"1,519"
Northampton,7,A,987,2,267,"1,256"
Northampton,7,B,"1,034",2,296,"1,332"
Pelham,-,1,708,0,153,861
Plainfield,-,1,317,0,115,432
"S. Hadley",-,A,"1,428",6,501,"1,935"
"S. Hadley",-,B,"1,556",8,636,"2,200"
"S. Hadley",-,C,"1,622",5,689,"2,316"
"S. Hadley",-,D,917,4,373,"1,294"
"S. Hadley",-,E,"1,591",9,658,"2,258"
Southampton,-,1,"1,375",23,607,"2,005"
Southampton,-,2,"1,417",26,640,"2,083"
Ware,-,A,"1,037",3,389,"1,429"
Ware,-,B,"1,075",7,571,"1,653"
Ware,-,C,"1,331",4,712,"2,047"
Westhampton,-,1,929,9,310,"1,248"
Williamsburg,-,1,"1,454",3,376,"1,833"
Worthington,-,1,649,1,228,878
TOTALS,,,"63,663",329,"21,557","85,549"
