City/Town,Ward,Pct,"Sherrilynn M. Mello","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,"1,333",24,573,"1,930"
Acushnet,-,2,"1,284",28,606,"1,918"
Acushnet,-,2A,164,4,65,233
Acushnet,-,3,"1,500",22,668,"2,190"
Dartmouth,-,1,"1,589",17,829,"2,435"
Dartmouth,-,2,"1,148",9,511,"1,668"
Dartmouth,-,3,247,2,65,314
Dartmouth,-,4,"1,503",8,651,"2,162"
Dartmouth,-,5,"1,510",12,643,"2,165"
Dartmouth,-,6,"1,425",7,567,"1,999"
Dartmouth,-,7,"1,625",7,730,"2,362"
Dartmouth,-,8,"1,895",9,746,"2,650"
Dartmouth,-,9,"1,936",2,856,"2,794"
Fairhaven,-,1,"1,107",10,497,"1,614"
Fairhaven,-,2,"1,141",9,424,"1,574"
Fairhaven,-,3,981,16,383,"1,380"
Fairhaven,-,4,"1,150",7,523,"1,680"
Fairhaven,-,5,"1,087",13,602,"1,702"
Fairhaven,-,6,"1,138",8,532,"1,678"
"New Bedford",1,A,867,25,291,"1,183"
"New Bedford",1,A1,92,1,30,123
"New Bedford",1,B,986,29,377,"1,392"
"New Bedford",1,B1,76,1,27,104
"New Bedford",1,C,677,16,257,950
"New Bedford",1,C1,146,8,36,190
"New Bedford",1,D,"1,135",20,438,"1,593"
"New Bedford",1,E,"1,017",16,350,"1,383"
"New Bedford",1,F,"1,018",36,373,"1,427"
"New Bedford",2,A,233,7,75,315
"New Bedford",2,B,362,21,119,502
"New Bedford",2,C,429,14,150,593
"New Bedford",2,D,747,22,243,"1,012"
"New Bedford",2,E,893,27,314,"1,234"
"New Bedford",2,F,696,12,200,908
"New Bedford",3,A,465,11,108,584
"New Bedford",3,B,469,10,137,616
"New Bedford",3,C,370,17,114,501
"New Bedford",3,D,551,18,206,775
"New Bedford",3,E,825,17,260,"1,102"
"New Bedford",3,F,671,14,251,936
"New Bedford",3,F1,324,6,116,446
"New Bedford",4,A,251,8,53,312
"New Bedford",4,A1,275,6,58,339
"New Bedford",4,B,748,16,193,957
"New Bedford",4,C,727,19,230,976
"New Bedford",4,D,663,18,193,874
"New Bedford",4,E,646,18,197,861
"New Bedford",4,F,786,16,213,"1,015"
"New Bedford",5,A,854,15,256,"1,125"
"New Bedford",5,B,784,15,247,"1,046"
"New Bedford",5,C,767,21,246,"1,034"
"New Bedford",5,D,928,19,243,"1,190"
"New Bedford",5,E,"1,046",29,321,"1,396"
"New Bedford",5,F,"1,012",30,354,"1,396"
"New Bedford",6,A,886,25,302,"1,213"
"New Bedford",6,B,740,17,202,959
"New Bedford",6,C,416,17,140,573
"New Bedford",6,D,343,9,86,438
"New Bedford",6,E,399,17,139,555
"New Bedford",6,F,627,19,162,808
Westport,-,A,"1,410",14,596,"2,020"
Westport,-,B,"1,564",3,809,"2,376"
Westport,-,C,"1,362",7,643,"2,012"
Westport,-,D,"1,414",12,610,"2,036"
Westport,-,E,"1,665",12,788,"2,465"
TOTALS,,,"57,125",944,"22,224","80,293"
