City/Town,Ward,Pct,"Cheryl A. Coakley-Rivera","Bob Collamore","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Holyoke,4,A,372,136,1,73,582
Holyoke,4,B,542,190,1,120,853
Holyoke,5,A,883,740,2,212,"1,837"
Holyoke,5,B,629,406,1,166,"1,202"
Holyoke,6,A,629,261,0,126,"1,016"
Holyoke,6,B,779,337,0,158,"1,274"
Holyoke,7,A,"1,037",525,0,207,"1,769"
Holyoke,7,B,965,345,1,146,"1,457"
Longmeadow,-,A,"1,230",582,7,209,"2,028"
Longmeadow,-,B,"1,101",546,6,199,"1,852"
Longmeadow,-,C,"1,189",644,6,226,"2,065"
Longmeadow,-,D,"1,115",660,7,226,"2,008"
Longmeadow,-,E,"1,121",539,9,220,"1,889"
Ludlow,-,1,"1,003",706,3,249,"1,961"
Ludlow,-,2,766,442,0,216,"1,424"
Ludlow,-,3,"1,052",970,1,309,"2,332"
Ludlow,-,4,929,650,3,284,"1,866"
Ludlow,-,5,732,555,0,233,"1,520"
Ludlow,-,6,"1,099",788,6,289,"2,182"
Monson,-,A,788,683,1,247,"1,719"
Monson,-,B,718,714,1,218,"1,651"
Monson,-,C,807,676,2,248,"1,733"
Montgomery,-,1,243,247,1,65,556
Palmer,-,1,834,733,0,199,"1,766"
Palmer,-,2,770,759,0,229,"1,758"
Palmer,-,3,705,496,0,176,"1,377"
Palmer,-,4,676,656,0,232,"1,564"
Russell,-,1,396,408,107,0,911
Southwick,-,1,922,"1,029",7,292,"2,250"
Southwick,-,2,724,754,11,189,"1,678"
Southwick,-,3,893,825,7,229,"1,954"
Springfield,1,A,308,56,4,157,525
Springfield,1,B,449,86,3,75,613
Springfield,1,C,284,53,2,60,399
Springfield,1,C1,48,13,0,1,62
Springfield,1,D,286,52,1,49,388
Springfield,1,D1,69,11,0,11,91
Springfield,1,E,393,71,5,80,549
Springfield,1,F,355,85,6,99,545
Springfield,1,G,282,66,1,57,406
Springfield,1,H,605,110,6,91,812
Springfield,2,A,467,130,2,60,659
Springfield,2,B,663,238,5,109,"1,015"
Springfield,2,C,462,144,7,69,682
Springfield,2,D,647,200,11,85,943
Springfield,2,E,568,228,3,87,886
Springfield,2,F,622,172,7,94,895
Springfield,2,G,607,314,4,95,"1,020"
Springfield,2,H,639,259,3,88,989
Springfield,3,A,297,67,3,55,422
Springfield,3,B,335,58,4,73,470
Springfield,3,C,302,73,1,53,429
Springfield,3,D,428,64,4,77,573
Springfield,3,E,243,53,3,25,324
Springfield,3,F,319,85,4,67,475
Springfield,3,G,272,68,3,46,389
Springfield,3,H,361,98,6,49,514
Springfield,4,A,660,122,4,95,881
Springfield,4,B,431,66,4,68,569
Springfield,4,C,428,59,5,65,557
Springfield,4,D,419,71,8,65,563
Springfield,4,E,400,61,3,64,528
Springfield,4,F,130,10,3,18,161
Springfield,4,G,484,85,5,75,649
Springfield,4,H,486,69,1,69,625
Springfield,5,A,589,128,0,79,796
Springfield,5,B,712,197,9,85,"1,003"
Springfield,5,C,538,221,2,95,856
Springfield,5,C1,7,5,0,5,17
Springfield,5,D,760,357,8,106,"1,231"
Springfield,5,E,816,199,5,121,"1,141"
Springfield,5,F,716,242,7,122,"1,087"
Springfield,5,G,757,392,5,113,"1,267"
Springfield,5,H,646,266,2,100,"1,014"
Springfield,6,A,429,135,5,60,629
Springfield,6,B,671,181,5,84,941
Springfield,6,C,499,237,1,121,858
Springfield,6,D,699,403,4,129,"1,235"
Springfield,6,D1,31,11,0,2,44
Springfield,6,E,429,125,1,68,623
Springfield,6,F,511,133,4,61,709
Springfield,6,G,528,202,3,75,808
Springfield,6,H,712,290,6,112,"1,120"
Springfield,7,A,726,338,8,121,"1,193"
Springfield,7,A1,44,5,0,7,56
Springfield,7,B,837,374,7,118,"1,336"
Springfield,7,B1,29,10,0,3,42
Springfield,7,C,789,418,2,141,"1,350"
Springfield,7,D,671,380,10,111,"1,172"
Springfield,7,E,540,169,4,92,805
Springfield,7,F,873,389,2,127,"1,391"
Springfield,7,G,833,466,5,119,"1,423"
Springfield,7,H,350,176,3,64,593
Springfield,7,H1,70,35,0,10,115
Springfield,8,A,616,256,6,78,956
Springfield,8,B,616,196,5,98,915
Springfield,8,B1,32,21,0,7,60
Springfield,8,C,665,182,5,95,947
Springfield,8,D,447,138,2,68,655
Springfield,8,E,396,166,6,76,644
Springfield,8,F,627,242,7,80,956
Springfield,8,G,543,227,4,102,876
Springfield,8,G1,18,8,0,3,29
Springfield,8,H,594,178,6,91,869
Tolland,-,1,147,148,0,36,331
Wales,-,1,498,528,0,116,"1,142"
"W. Springfield",-,1,426,232,1,114,773
"W. Springfield",-,2,603,312,1,139,"1,055"
"W. Springfield",-,3,756,506,1,186,"1,449"
"W. Springfield",-,4,911,530,2,190,"1,633"
"W. Springfield",-,5,"1,111",817,2,286,"2,216"
"W. Springfield",-,6,"1,035",748,1,271,"2,055"
"W. Springfield",-,7,"1,033",770,1,314,"2,118"
"W. Springfield",-,8,884,514,2,182,"1,582"
Westfield,1,A,"1,073",769,3,297,"2,142"
Westfield,1,B,925,712,3,243,"1,883"
Westfield,2,A,590,309,2,139,"1,040"
Westfield,2,A1,48,17,0,5,70
Westfield,2,B,811,434,1,197,"1,443"
Westfield,3,A,662,388,1,140,"1,191"
Westfield,3,B,955,592,1,210,"1,758"
Westfield,4,A,372,302,0,135,809
Westfield,4,B,"1,098",782,2,256,"2,138"
Westfield,5,A,"1,116",800,6,286,"2,208"
Westfield,5,B,"1,034",800,2,300,"2,136"
Westfield,6,A,902,733,1,252,"1,888"
Westfield,6,B,739,571,2,196,"1,508"
Westfield,6,B1,36,34,0,12,82
Wilbraham,-,A,"1,228",848,3,267,"2,346"
Wilbraham,-,B,"1,129",828,4,259,"2,220"
Wilbraham,-,C,"1,139",896,5,277,"2,317"
Wilbraham,-,D,"1,231",876,8,307,"2,422"
TOTALS,,,"115,818","69,039",761,"24,908","210,526"
