City/Town,Ward,Pct,"John R. Buckley, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,"1,420",7,574,"2,001"
Abington,-,2,"1,249",10,515,"1,774"
Abington,-,3,"1,351",8,550,"1,909"
Abington,-,4,"1,445",13,544,"2,002"
Abington,-,5,"1,455",9,525,"1,989"
Bridgewater,-,1,"1,287",10,668,"1,965"
Bridgewater,-,2,"1,255",6,655,"1,916"
Bridgewater,-,3,"1,523",0,803,"2,326"
Bridgewater,-,4,678,5,379,"1,062"
Bridgewater,-,5,154,1,73,228
Bridgewater,-,6,"1,042",2,431,"1,475"
Bridgewater,-,7,"1,330",11,599,"1,940"
Bridgewater,-,8,"1,188",4,467,"1,659"
Bridgewater,-,9,"1,391",9,686,"2,086"
Brockton,1,A,861,1,176,"1,038"
Brockton,1,B,"1,176",1,318,"1,495"
Brockton,1,C,"1,078",2,238,"1,318"
Brockton,1,D,"1,473",1,413,"1,887"
Brockton,2,A,603,0,175,778
Brockton,2,B,771,0,195,966
Brockton,2,C,516,0,166,682
Brockton,2,D,915,0,217,"1,132"
Brockton,3,A,957,1,269,"1,227"
Brockton,3,B,709,1,226,936
Brockton,3,C,"1,334",0,354,"1,688"
Brockton,3,D,"1,291",1,373,"1,665"
Brockton,4,A,573,0,127,700
Brockton,4,B,952,0,248,"1,200"
Brockton,4,C,"1,114",4,388,"1,506"
Brockton,4,D,"1,062",0,349,"1,411"
Brockton,5,A,743,1,198,942
Brockton,5,B,"1,153",3,297,"1,453"
Brockton,5,C,969,1,210,"1,180"
Brockton,5,D,"1,296",5,318,"1,619"
Brockton,6,A,962,3,225,"1,190"
Brockton,6,B,"1,199",0,353,"1,552"
Brockton,6,C,"1,092",2,288,"1,382"
Brockton,6,D,"1,391",0,425,"1,816"
Brockton,7,A,776,1,182,959
Brockton,7,B,"1,061",1,264,"1,326"
Brockton,7,C,869,1,235,"1,105"
Brockton,7,D,"1,017",1,313,"1,331"
Carver,-,1,"1,624",57,701,"2,382"
Carver,-,2,"1,527",56,708,"2,291"
Carver,-,3,"1,703",31,777,"2,511"
Duxbury,-,1,"1,398",15,593,"2,006"
Duxbury,-,2,"1,249",19,537,"1,805"
Duxbury,-,3,"1,286",12,485,"1,783"
Duxbury,-,4,"1,272",12,495,"1,779"
Duxbury,-,5,"1,238",21,465,"1,724"
Duxbury,-,6,"1,219",15,466,"1,700"
"E. Bridgewater",-,1,"1,416",10,735,"2,161"
"E. Bridgewater",-,2,"1,515",14,674,"2,203"
"E. Bridgewater",-,3,"1,483",15,742,"2,240"
"E. Bridgewater",-,4,"1,365",10,681,"2,056"
Halifax,-,1,"1,723",0,808,"2,531"
