City/Town,Ward,Pct,"Eileen R. Duff","Jonathan Edward Ring","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Amesbury,-,1,"1,186",688,0,221,"2,095"
Amesbury,-,2,"1,069",490,0,161,"1,720"
Amesbury,-,3,"1,101",503,0,198,"1,802"
Amesbury,-,4,804,451,0,174,"1,429"
Amesbury,-,5,"1,001",680,0,214,"1,895"
Amesbury,-,6,887,421,0,172,"1,480"
Beverly,1,1,"1,235",612,1,179,"2,027"
Beverly,1,2,"1,419",665,0,231,"2,315"
Beverly,2,1,"1,415",532,2,176,"2,125"
Beverly,2,2,"1,379",432,0,159,"1,970"
Beverly,3,1,966,344,0,108,"1,418"
Beverly,3,2,"1,156",560,1,153,"1,870"
Beverly,4,1,682,297,1,74,"1,054"
Beverly,4,2,"1,710",562,0,156,"2,428"
Beverly,5,1,"1,138",664,0,207,"2,009"
Beverly,5,2,"1,161",599,0,207,"1,967"
Beverly,6,1,"1,433",662,1,228,"2,324"
Beverly,6,2,"1,349",818,3,231,"2,401"
Boxford,-,1,834,806,5,183,"1,828"
Boxford,-,2,988,793,2,150,"1,933"
Boxford,-,3,829,690,1,182,"1,702"
Danvers,-,1,"1,141",745,0,166,"2,052"
Danvers,-,2,"1,146",759,0,195,"2,100"
Danvers,-,3,947,797,3,160,"1,907"
Danvers,-,4,"1,087",802,1,218,"2,108"
Danvers,-,5,"1,070",890,0,199,"2,159"
Danvers,-,6,"1,091","1,010",1,231,"2,333"
Danvers,-,7,"1,119",840,0,201,"2,160"
Danvers,-,8,828,742,0,146,"1,716"
Essex,-,1,"1,421",782,3,232,"2,438"
Georgetown,-,1,876,858,2,170,"1,906"
Georgetown,-,2,851,788,3,154,"1,796"
Georgetown,-,3,923,795,1,154,"1,873"
Gloucester,1,1,"1,377",542,3,236,"2,158"
Gloucester,1,2,"1,083",506,4,141,"1,734"
Gloucester,2,1,928,394,4,136,"1,462"
Gloucester,2,2,801,321,0,115,"1,237"
Gloucester,3,1,838,413,1,116,"1,368"
Gloucester,3,2,909,490,7,172,"1,578"
Gloucester,4,1,"1,127",539,0,174,"1,840"
Gloucester,4,2,"1,500",513,2,183,"2,198"
Gloucester,5,1,"1,229",665,5,224,"2,123"
Gloucester,5,2,"1,274",697,0,229,"2,200"
Groveland,-,1,"1,035",972,1,189,"2,197"
Groveland,-,2,"1,074",986,0,212,"2,272"
Hamilton,-,1,"1,372",830,7,236,"2,445"
Hamilton,-,2,"1,373",801,2,218,"2,394"
Haverhill,1,1,403,214,0,78,695
Haverhill,1,2,467,215,0,62,744
Haverhill,1,2A,170,127,0,27,324
Haverhill,1,3,369,228,0,73,670
Haverhill,1,3A,238,181,0,49,468
Haverhill,2,1,822,503,0,168,"1,493"
Haverhill,2,2,883,520,2,163,"1,568"
Haverhill,2,3,517,298,1,92,908
Haverhill,3,1,618,326,0,128,"1,072"
Haverhill,3,2,602,301,0,96,999
Haverhill,3,3,569,327,0,113,"1,009"
Haverhill,4,1,982,717,2,183,"1,884"
Haverhill,4,2,977,860,1,239,"2,077"
Haverhill,4,3,898,700,0,228,"1,826"
Haverhill,5,1,520,316,0,101,937
Haverhill,5,1A,361,253,0,70,684
Haverhill,5,2,978,821,0,167,"1,966"
Haverhill,5,3,846,832,1,180,"1,859"
Haverhill,5,3A,63,62,0,15,140
Haverhill,6,1,827,640,1,162,"1,630"
Haverhill,6,2,594,411,1,131,"1,137"
Haverhill,6,2A,265,154,0,49,468
Haverhill,6,3,934,638,0,183,"1,755"
Haverhill,7,1,883,605,0,152,"1,640"
Haverhill,7,2,602,498,0,110,"1,210"
Haverhill,7,2A,204,135,0,40,379
Haverhill,7,3,996,800,0,227,"2,023"
Haverhill,7,3A,16,8,0,2,26
Ipswich,-,1,"1,395",589,2,242,"2,228"
Ipswich,-,2,"1,412",741,3,295,"2,451"
Ipswich,-,3,"1,280",928,2,278,"2,488"
Ipswich,-,4,"1,351",857,2,256,"2,466"
Lynn,1,1,"1,143",744,2,320,"2,209"
Lynn,1,2,874,528,4,239,"1,645"
Lynn,1,2A,194,113,1,47,355
Lynn,1,3,"1,026",494,2,208,"1,730"
Lynn,1,4,840,371,7,164,"1,382"
Lynn,2,1,"1,073",550,4,226,"1,853"
Lynn,2,2,651,298,12,143,"1,104"
Lynn,2,3,485,181,2,113,781
Lynn,2,4,456,186,4,88,734
Lynn,3,1,762,372,2,158,"1,294"
Lynn,3,2,551,248,6,83,888
Lynn,3,3,776,335,10,131,"1,252"
Lynn,3,4,808,278,12,159,"1,257"
Lynn,4,1,331,175,5,73,584
Lynn,4,2,401,141,6,76,624
Lynn,4,3,495,221,3,120,839
Lynn,4,3A,122,30,2,27,181
Lynn,4,4,669,283,9,142,"1,103"
Lynn,5,1,765,373,6,142,"1,286"
Lynn,5,2,399,184,6,80,669
Lynn,5,3,359,140,3,93,595
Lynn,5,4,753,287,5,182,"1,227"
Lynn,6,1,529,191,4,108,832
Lynn,6,2,371,198,5,91,665
Lynn,6,3,436,171,2,107,716
Lynn,6,4,650,298,4,128,"1,080"
Lynn,7,1,905,452,9,189,"1,555"
Lynn,7,2,937,421,8,164,"1,530"
Lynn,7,3,589,279,9,84,961
Lynn,7,4,668,298,13,137,"1,116"
Lynnfield,-,1,849,885,0,257,"1,991"
Lynnfield,-,2,948,899,0,214,"2,061"
Lynnfield,-,3,862,894,0,255,"2,011"
Lynnfield,-,4,803,"1,051",0,250,"2,104"
Manchester-by-the-Sea,-,1,"2,223","1,032",6,421,"3,682"
Marblehead,-,1,"1,431",624,1,306,"2,362"
Marblehead,-,2,"1,435",587,5,311,"2,338"
Marblehead,-,3,"1,264",617,5,276,"2,162"
Marblehead,-,4,"1,267",733,0,331,"2,331"
Marblehead,-,5,"1,286",675,0,262,"2,223"
Marblehead,-,6,"1,352",718,2,272,"2,344"
Merrimac,-,1,"1,061",796,1,219,"2,077"
Merrimac,-,2,"1,182",889,1,201,"2,273"
Middleton,-,1,"1,002","1,113",1,207,"2,323"
Middleton,-,2,593,763,1,109,"1,466"
Middleton,-,3,791,"1,054",4,208,"2,057"
Nahant,-,1,"1,370",713,2,267,"2,352"
Newbury,-,1,"1,374",824,0,257,"2,455"
