City/Town,Ward,Pct,"Bernard J. McDonald, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,A,"1,069",32,560,"1,661"
"Fall River",1,B,744,27,356,"1,127"
"Fall River",1,C,841,37,361,"1,239"
"Fall River",2,A,623,24,242,889
"Fall River",2,B,572,24,220,816
"Fall River",2,C,665,19,297,981
"Fall River",3,A,802,14,333,"1,149"
"Fall River",3,B,772,17,303,"1,092"
"Fall River",3,C,944,39,408,"1,391"
"Fall River",4,A,583,12,204,799
"Fall River",4,B,520,14,178,712
"Fall River",4,C,623,16,233,872
"Fall River",5,A,490,19,157,666
"Fall River",5,B,435,6,135,576
"Fall River",5,C,556,19,210,785
"Fall River",6,A,880,36,430,"1,346"
"Fall River",6,B,788,22,300,"1,110"
"Fall River",6,C,766,18,321,"1,105"
"Fall River",7,A,905,19,374,"1,298"
"Fall River",7,B,639,17,228,884
"Fall River",7,C,761,23,254,"1,038"
"Fall River",8,A,709,22,306,"1,037"
"Fall River",8,B,"1,052",45,425,"1,522"
"Fall River",8,C,"1,118",33,479,"1,630"
"Fall River",9,A,"1,378",29,607,"2,014"
"Fall River",9,B,"1,009",30,441,"1,480"
"Fall River",9,C,"1,122",23,442,"1,587"
Freetown,-,1,"1,194",22,618,"1,834"
Freetown,-,2,"1,190",11,693,"1,894"
Freetown,-,3,"1,137",15,707,"1,859"
Somerset,-,1,"1,621",7,702,"2,330"
Somerset,-,2,"1,613",12,673,"2,298"
Somerset,-,3,"1,596",4,657,"2,257"
Somerset,-,4,"1,477",9,624,"2,110"
Somerset,-,5,"1,444",8,684,"2,136"
Swansea,-,1,"1,311",56,669,"2,036"
Swansea,-,2,"1,387",55,569,"2,011"
Swansea,-,3,"1,414",50,611,"2,075"
Swansea,-,4,"1,426",51,609,"2,086"
Swansea,-,5,"1,379",42,759,"2,180"
TOTALS,,,"39,555",978,"17,379","57,912"
